NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,DS_ENDERECO,NM_BAIRRO,DS_TIPO_LOCAL,NR_LATITUDE,NR_LONGITUDE,QT_ELEITORES,QT_SECOES
BELO HORIZONTE,26,1031,COLÉGIO BATISTA MINEIRO,"RUA PLOMBAGINA, 305",COLÉGIO BATISTA,Convencional,-19.9079674,-43.9345507,7155,16
BELO HORIZONTE,26,1040,COLÉGIO SANTA MARIA,"RUA POUSO ALEGRE, 707",FLORESTA,Convencional,-19.9110631,-43.932589,8060,17
BELO HORIZONTE,26,1058,COLÉGIO SÃO LUIZ GONZAGA,"RUA GENERAL CARNEIRO, 397",SAGRADA FAMILIA,Convencional,-19.9075896,-43.9255326,4554,11
BELO HORIZONTE,26,1074,COLÉGIO TIRADENTES DA POLÍCIA MILITAR,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9164193,-43.917815,8527,21
BELO HORIZONTE,26,1090,ESCOLA ESTADUAL HELENA PENA,"RUA GENOVEVA DE SOUZA, 691",SAGRADA FAMILIA,Convencional,-19.9060138,-43.9253871,5570,13
BELO HORIZONTE,26,1112,PLUG MINAS,"RUA SANTO AGOSTINHO, 1441",HORTO,Convencional,-19.8980698,-43.9136817,3559,10
BELO HORIZONTE,26,1120,ESCOLA ESTADUAL SAGRADA FAMÍLIA,"RUA CÉLIA DE SOUZA, 600",SAGRADA FAMILIA,Convencional,-19.9054865,-43.9256817,7594,16
BELO HORIZONTE,26,1139,ESCOLA ESTADUAL SANDOVAL DE AZEVEDO,"RUA POUSO ALEGRE, 2382",HORTO,Convencional,-19.9119538,-43.917277,4879,13
BELO HORIZONTE,26,1155,ESCOLA MUNICIPAL DOMICIANO VIEIRA,"RUA SÃO BENTO, 1591",SAGRADA FAMILIA,Convencional,-19.9028174,-43.9157818,4515,11
BELO HORIZONTE,26,1163,COLÉGIO TIRADENTES 2,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9157568,-43.9169127,1403,6
BELO HORIZONTE,26,1236,SESC - UNIDADE DE SERVICOS FLORESTA,"RUA POUSO ALEGRE, 1647",FLORESTA,Convencional,-19.9148156,-43.921496,2885,8
BELO HORIZONTE,26,1287,COLÉGIO SÃO JOSÉ,"RUA BUENO BRANDÃO,151",FLORESTA,Convencional,-19.9154061,-43.9263339,3979,11
BELO HORIZONTE,26,1295,COLÉGIO MAGNUM AGOSTINIANO,"RUA SÃO GONÇALO,1364",NOVA FLORESTA,Convencional,-19.8908707,-43.9315246,6166,13
BELO HORIZONTE,26,1309,COLÉGIO SÃO MIGUEL ARCANJO,"RUA ILDEFONSO ALVIM,131",NOVA FLORESTA,Convencional,-19.8960857,-43.930892,7071,16
BELO HORIZONTE,26,1325,ESCOLA MUNICIPAL GOVERNADOR CARLOS LACERDA,"RUA PRINCESA LEOPOLDINA, 490",IPIRANGA,Convencional,-19.886066,-43.9322591,4715,13
BELO HORIZONTE,26,1333,COLÉGIO MAXIMUS,"RUA ITACARAMBI,108",SANTA INES,Convencional,-19.8860415,-43.9065781,5688,14
BELO HORIZONTE,26,1350,ESCOLA MUNICIPAL EMÍDIO BERUTTO,"RUA CONCEIÇÃO DO PARÁ, 1726",SANTA INES,Convencional,-19.8801866,-43.9109683,3600,10
BELO HORIZONTE,26,1368,COLÉGIO TIRADENTES DA POLÍCIA MILITAR - VOTO EM TRÂNSITO,"PRAÇA DUQUE DE CAXIAS, S/N",SANTA TERESA,Convencional,-19.9164193,-43.917815,149,1
BELO HORIZONTE,26,1406,COLÉGIO LOGOSÓFICO - CIDADE NOVA,"AV. JOSÉ CÂNDIDO DA SILVEIRA, 330",SAGRADA FAMILIA,Convencional,-19.8941988,-43.923986,1207,3
BELO HORIZONTE,26,1473,EE AMÉLIA DE CASTRO - SEDESE,"RUA SANTO AGOSTINHO, 1381",SAGRADA FAMILIA,Temporário,,,2486,7
BELO HORIZONTE,26,1481,EE INSTITUTO AGRONÔMICO,"RUA SANTO AGOSTINHO,1535",SAGRADA FAMILIA,Temporário,,,2491,7
BELO HORIZONTE,27,1058,ESCOLA ESTADUAL MENDES PIMENTEL,"RUA NAIR DUARTE DE BARROS, 5",FERNÃO DIAS,Convencional,-19.871164,-43.9211738,4153,9
BELO HORIZONTE,27,1082,ESCOLA SESI NEWTON ANTONIO DA SILVA PEREIRA,"RUA AIURUOCA, 539",SÃO PAULO,Convencional,-19.8652644,-43.924939,2974,8
BELO HORIZONTE,27,1090,ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO,"RUA AIURUOCA, 501",SÃO PAULO,Convencional,-19.8662326,-43.9245637,2407,9
