CD_SETOR,bairro,situacao,distrito,fonte_nome
310620005620001,Funcionários,Urbana,Belo Horizonte,IBGE
310620005620002,Funcionários,Urbana,Belo Horizonte,IBGE
310620005620004,Serra,Urbana,Belo Horizonte,IBGE
310620005620005,Serra,Urbana,Belo Horizonte,IBGE
310620005620006,Serra,Urbana,Belo Horizonte,IBGE
310620005620007,Serra,Urbana,Belo Horizonte,IBGE
310620005620008,Serra,Urbana,Belo Horizonte,IBGE
310620005620010,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620011,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620012,Savassi,Urbana,Belo Horizonte,IBGE
310620005620013,Savassi,Urbana,Belo Horizonte,IBGE
310620005620014,Savassi,Urbana,Belo Horizonte,IBGE
310620005620015,Savassi,Urbana,Belo Horizonte,IBGE
310620005620016,Funcionários,Urbana,Belo Horizonte,IBGE
310620005620017,Funcionários,Urbana,Belo Horizonte,IBGE
310620005620021,São Lucas,Urbana,Belo Horizonte,IBGE
310620005620022,São Lucas,Urbana,Belo Horizonte,IBGE
310620005620023,Serra,Urbana,Belo Horizonte,IBGE
310620005620024,Serra,Urbana,Belo Horizonte,IBGE
310620005620025,Serra,Urbana,Belo Horizonte,IBGE
310620005620026,Serra,Urbana,Belo Horizonte,IBGE
310620005620028,Serra,Urbana,Belo Horizonte,IBGE
310620005620029,Serra,Urbana,Belo Horizonte,IBGE
310620005620031,Serra,Urbana,Belo Horizonte,IBGE
310620005620032,Serra,Urbana,Belo Horizonte,IBGE
310620005620034,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620036,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620039,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620040,Carmo,Urbana,Belo Horizonte,IBGE
310620005620041,Carmo,Urbana,Belo Horizonte,IBGE
310620005620045,Savassi,Urbana,Belo Horizonte,IBGE
310620005620047,Savassi,Urbana,Belo Horizonte,IBGE
310620005620048,Savassi,Urbana,Belo Horizonte,IBGE
310620005620052,Santa Efigênia,Urbana,Belo Horizonte,IBGE
310620005620053,Santa Efigênia,Urbana,Belo Horizonte,IBGE
310620005620057,Santa Efigênia,Urbana,Belo Horizonte,IBGE
310620005620058,Santa Efigênia,Urbana,Belo Horizonte,IBGE
310620005620060,Serra,Urbana,Belo Horizonte,IBGE
310620005620062,Serra,Urbana,Belo Horizonte,IBGE
310620005620064,Serra,Urbana,Belo Horizonte,IBGE
310620005620066,Serra,Urbana,Belo Horizonte,IBGE
310620005620067,Serra,Urbana,Belo Horizonte,IBGE
310620005620068,Serra,Urbana,Belo Horizonte,IBGE
310620005620070,Comiteco,Urbana,Belo Horizonte,IBGE
310620005620071,Cruzeiro,Urbana,Belo Horizonte,IBGE
310620005620073,Cruzeiro,Urbana,Belo Horizonte,IBGE
