CD_SETOR,bairro,situacao,distrito,fonte_nome
310670505010001,Centro,Urbana,Betim,IBGE
310670505010003,Centro,Urbana,Betim,IBGE
310670505010004,Centro,Urbana,Betim,IBGE
310670505010007,Angola,Urbana,Betim,IBGE
310670505010008,Angola,Urbana,Betim,IBGE
310670505010010,Chácara,Urbana,Betim,IBGE
310670505010011,Filadélfia,Urbana,Betim,IBGE
310670505010013,Filadélfia,Urbana,Betim,IBGE
310670505010014,Filadélfia,Urbana,Betim,IBGE
310670505010018,Cidade Verde,Urbana,Betim,IBGE
310670505010020,Morada do Trevo,Urbana,Betim,IBGE
310670505010023,Brasiléia,Urbana,Betim,IBGE
310670505010024,Brasiléia,Urbana,Betim,IBGE
310670505010025,Decamão,Urbana,Betim,IBGE
310670505010026,Cachoeira,Urbana,Betim,IBGE
310670505010027,Cachoeira,Urbana,Betim,IBGE
310670505010028,Guarujá,Urbana,Betim,IBGE
310670505010030,Guarujá,Urbana,Betim,IBGE
310670505010031,Guarujá,Urbana,Betim,IBGE
310670505010035,Angola,Urbana,Betim,IBGE
310670505010036,Chácara,Urbana,Betim,IBGE
310670505010037,Chácara,Urbana,Betim,IBGE
310670505010038,Filadélfia,Urbana,Betim,IBGE
310670505010040,Petrópolis,Urbana,Betim,IBGE
310670505010041,Petrópolis,Urbana,Betim,IBGE
310670505010042,São João,Urbana,Betim,IBGE
310670505010043,São João,Urbana,Betim,IBGE
310670505010045,São João,Urbana,Betim,IBGE
310670505010047,São João,Urbana,Betim,IBGE
310670505010048,São João,Urbana,Betim,IBGE
310670505010049,São João,Urbana,Betim,IBGE
310670505010050,São João,Urbana,Betim,IBGE
310670505010051,Petrópolis,Urbana,Betim,IBGE
310670505010052,Bandeirinhas,Urbana,Betim,IBGE
310670505010053,São João,Urbana,Betim,IBGE
310670505010055,Bandeirinhas,Urbana,Betim,IBGE
310670505010057,Cachoeira,Rural,Betim,IBGE
310670505010058,Guarujá Mansões,Urbana,Betim,IBGE
310670505010059,Brasiléia,Urbana,Betim,IBGE
310670505010060,Centro,Urbana,Betim,IBGE
310670505010061,Guarujá,Urbana,Betim,IBGE
310670505010062,Decamão,Urbana,Betim,IBGE
310670505010063,Angola,Urbana,Betim,IBGE
310670505010064,Jardim da Cidade,Urbana,Betim,IBGE
310670505010065,Jardim da Cidade,Urbana,Betim,IBGE
310670505010067,Filadélfia,Urbana,Betim,IBGE
310670505010068,Petrópolis,Urbana,Betim,IBGE
310670505010069,Jardim Casa Branca,Urbana,Betim,IBGE
310670505010070,Cidade Verde,Urbana,Betim,IBGE
310670505010073,Brasiléia,Urbana,Betim,IBGE
310670505010074,Brasiléia,Urbana,Betim,IBGE
310670505010075,Cachoeira,Urbana,Betim,IBGE
310670505010076,Cachoeira,Urbana,Betim,IBGE
310670505010077,Marmeleiros,Urbana,Betim,IBGE
310670505010079,Decamão,Urbana,Betim,IBGE
310670505010080,Santa Inês,Urbana,Betim,IBGE
310670505010081,Salomé,Urbana,Betim,IBGE
310670505010082,Salomé,Urbana,Betim,IBGE
310670505010083,Horto,Urbana,Betim,IBGE
310670505010084,São João,Urbana,Betim,IBGE
310670505010085,Petrópolis,Urbana,Betim,IBGE
310670505010086,Petrópolis,Urbana,Betim,IBGE
310670505010087,São João,Urbana,Betim,IBGE
310670505010088,Vila Alpina,Urbana,Betim,IBGE
310670505010089,Petrópolis,Urbana,Betim,IBGE
310670505010090,São João,Urbana,Betim,IBGE
310670505010091,São João,Urbana,Betim,IBGE
310670505010092,São João,Urbana,Betim,IBGE
310670505010093,Monte Verde,Urbana,Betim,IBGE
310670505010094,Monte Verde,Urbana,Betim,IBGE
310670505010095,Petrópolis,Urbana,Betim,IBGE
310670505010096,Vila Alpina,Urbana,Betim,IBGE
310670505010098,Arquipélago Verde,Urbana,Betim,IBGE
310670505010099,Bandeirinhas,Urbana,Betim,IBGE
310670505010101,D.I. Bandeirinhas,Urbana,Betim,IBGE
310670505010103,Bandeirinhas,Urbana,Betim,IBGE
310670505010107,Guarujá Mansões,Urbana,Betim,IBGE
310670505010109,Centro,Urbana,Betim,IBGE
310670505010110,Chácara,Urbana,Betim,IBGE
310670505010111,Filadélfia,Urbana,Betim,IBGE
310670505010112,Petrópolis,Urbana,Betim,IBGE
310670505010113,Petrópolis,Urbana,Betim,IBGE
310670505010114,Petrópolis,Urbana,Betim,IBGE
310670505010115,Petrópolis,Urbana,Betim,IBGE
310670505010116,Cidade Verde,Urbana,Betim,IBGE
310670505010117,Morada do Trevo,Urbana,Betim,IBGE
310670505010118,Brasiléia,Urbana,Betim,IBGE
310670505010119,Brasiléia,Urbana,Betim,IBGE
310670505010120,Guarujá,Urbana,Betim,IBGE
310670505010121,Chácara,Urbana,Betim,IBGE
310670505010122,Chácara,Urbana,Betim,IBGE
310670505010123,Chácara,Urbana,Betim,IBGE
310670505010124,Chácara,Urbana,Betim,IBGE
310670505010125,Filadélfia,Urbana,Betim,IBGE
310670505010127,São João,Urbana,Betim,IBGE
310670505010128,São João,Urbana,Betim,IBGE
310670505010129,Bandeirinhas,Urbana,Betim,IBGE
310670505010130,Jardim da Cidade,Urbana,Betim,IBGE
310670505010131,Jardim da Cidade,Urbana,Betim,IBGE
310670505010133,Brasiléia,Urbana,Betim,IBGE
310670505010134,Brasiléia,Urbana,Betim,IBGE
