CD_SETOR,bairro,situacao,distrito,fonte_nome
311830405000001,Centro,Urbana,Conselheiro Lafaiete,CNEFE
311830405000002,Centro,Urbana,Conselheiro Lafaiete,CNEFE
311830405000003,Museu,Urbana,Conselheiro Lafaiete,CNEFE
311830405000004,Centro,Urbana,Conselheiro Lafaiete,vizinho
311830405000005,Santo Antonio,Urbana,Conselheiro Lafaiete,CNEFE
311830405000006,Jardim America,Urbana,Conselheiro Lafaiete,vizinho
311830405000007,Centro,Urbana,Conselheiro Lafaiete,vizinho
311830405000008,Angelica,Urbana,Conselheiro Lafaiete,vizinho
311830405000010,Lourdes,Urbana,Conselheiro Lafaiete,vizinho
311830405000011,Centro,Urbana,Conselheiro Lafaiete,CNEFE
311830405000012,Centro,Urbana,Conselheiro Lafaiete,CNEFE
311830405000013,Recanto dos Colibris,Urbana,Conselheiro Lafaiete,CNEFE
311830405000015,Ouro Verde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000016,Arcadia,Urbana,Conselheiro Lafaiete,CNEFE
311830405000017,Arcadia,Urbana,Conselheiro Lafaiete,vizinho
311830405000018,Museu,Urbana,Conselheiro Lafaiete,CNEFE
311830405000019,Chapada,Urbana,Conselheiro Lafaiete,CNEFE
311830405000020,Manoel Correa,Urbana,Conselheiro Lafaiete,CNEFE
311830405000022,Progresso,Urbana,Conselheiro Lafaiete,CNEFE
311830405000023,Jardim America,Urbana,Conselheiro Lafaiete,CNEFE
311830405000025,Jardim America,Urbana,Conselheiro Lafaiete,vizinho
311830405000026,Angelica,Urbana,Conselheiro Lafaiete,vizinho
311830405000027,Queluz,Urbana,Conselheiro Lafaiete,vizinho
311830405000029,Queluz,Urbana,Conselheiro Lafaiete,CNEFE
311830405000030,Queluz,Urbana,Conselheiro Lafaiete,CNEFE
311830405000031,Fonte Grande,Urbana,Conselheiro Lafaiete,CNEFE
311830405000032,Rosario,Urbana,Conselheiro Lafaiete,vizinho
311830405000033,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000034,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000035,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000036,Cachoeira,Urbana,Conselheiro Lafaiete,CNEFE
311830405000037,Areal,Urbana,Conselheiro Lafaiete,CNEFE
311830405000038,Recanto dos Colibris,Urbana,Conselheiro Lafaiete,CNEFE
311830405000039,Cachoeira,Urbana,Conselheiro Lafaiete,CNEFE
311830405000041,Pedra Branca,Urbana,Conselheiro Lafaiete,vizinho
311830405000042,Bellavinha,Urbana,Conselheiro Lafaiete,vizinho
311830405000043,Manoel de Paula,Urbana,Conselheiro Lafaiete,CNEFE
311830405000045,Sagrado Coracao de Jesus,Urbana,Conselheiro Lafaiete,CNEFE
311830405000047,Bellavinha,Urbana,Conselheiro Lafaiete,CNEFE
311830405000048,Vila Resende,Urbana,Conselheiro Lafaiete,CNEFE
311830405000049,Vila Resende,Urbana,Conselheiro Lafaiete,CNEFE
311830405000050,Sagrado Coracao de Jesus,Urbana,Conselheiro Lafaiete,CNEFE
311830405000051,Sagrado Coracao de Jesus,Urbana,Conselheiro Lafaiete,CNEFE
311830405000053,Jardim Eldorado,Urbana,Conselheiro Lafaiete,CNEFE
311830405000054,Rochedo,Urbana,Conselheiro Lafaiete,CNEFE
311830405000055,Progresso,Urbana,Conselheiro Lafaiete,CNEFE
311830405000056,Progresso,Urbana,Conselheiro Lafaiete,CNEFE
311830405000057,Jardim America,Urbana,Conselheiro Lafaiete,CNEFE
311830405000058,Jardim America,Urbana,Conselheiro Lafaiete,CNEFE
311830405000059,Sao Joao,Urbana,Conselheiro Lafaiete,vizinho
311830405000060,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000062,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000063,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000064,Sao Joao,Urbana,Conselheiro Lafaiete,vizinho
311830405000066,Sao Joao,Urbana,Conselheiro Lafaiete,vizinho
311830405000067,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000068,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000069,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000070,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000071,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000073,Paulo VI,Urbana,Conselheiro Lafaiete,vizinho
311830405000074,Paulo VI,Urbana,Conselheiro Lafaiete,CNEFE
311830405000075,Paulo VI,Urbana,Conselheiro Lafaiete,CNEFE
311830405000076,Copacabana,Urbana,Conselheiro Lafaiete,CNEFE
311830405000079,Sao Dimas,Urbana,Conselheiro Lafaiete,CNEFE
311830405000080,Sao Sebastiao,Urbana,Conselheiro Lafaiete,vizinho
311830405000081,Santa Matilde,Urbana,Conselheiro Lafaiete,vizinho
311830405000082,Sao Sebastiao,Urbana,Conselheiro Lafaiete,vizinho
311830405000083,Santa Matilde,Urbana,Conselheiro Lafaiete,vizinho
311830405000085,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000086,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000087,Sao Dimas,Urbana,Conselheiro Lafaiete,CNEFE
311830405000089,Sao Dimas,Urbana,Conselheiro Lafaiete,CNEFE
311830405000090,Parque das Acacias,Urbana,Conselheiro Lafaiete,CNEFE
311830405000091,Parque das Acacias,Urbana,Conselheiro Lafaiete,CNEFE
311830405000093,Siderurgico,Urbana,Conselheiro Lafaiete,CNEFE
311830405000094,Siderurgico,Urbana,Conselheiro Lafaiete,CNEFE
311830405000095,Siderurgico,Urbana,Conselheiro Lafaiete,vizinho
311830405000096,Santa Cruz,Urbana,Conselheiro Lafaiete,vizinho
311830405000098,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000100,Cidade Jardim,Urbana,Conselheiro Lafaiete,CNEFE
311830405000101,Sao Judas Tadeu,Urbana,Conselheiro Lafaiete,CNEFE
311830405000102,Sao Judas Tadeu,Urbana,Conselheiro Lafaiete,CNEFE
311830405000103,Novo Horizonte,Urbana,Conselheiro Lafaiete,CNEFE
311830405000105,Rochedo,Urbana,Conselheiro Lafaiete,CNEFE
311830405000106,Sao Joao,Urbana,Conselheiro Lafaiete,vizinho
311830405000107,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000108,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000109,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000110,Sion,Urbana,Conselheiro Lafaiete,CNEFE
311830405000111,Sion,Urbana,Conselheiro Lafaiete,CNEFE
311830405000112,Santa Maria,Urbana,Conselheiro Lafaiete,CNEFE
311830405000113,Santa Maria,Urbana,Conselheiro Lafaiete,CNEFE
311830405000114,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000115,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000116,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000117,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000118,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000119,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000120,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000121,Vargas,Rural,Conselheiro Lafaiete,CNEFE
311830405000123,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000125,Museu,Urbana,Conselheiro Lafaiete,CNEFE
311830405000126,Lourdes,Urbana,Conselheiro Lafaiete,CNEFE
311830405000127,Museu,Urbana,Conselheiro Lafaiete,vizinho
311830405000128,Sao Sebastiao,Urbana,Conselheiro Lafaiete,CNEFE
311830405000129,Areal,Urbana,Conselheiro Lafaiete,CNEFE
311830405000130,Santa Efigenia,Urbana,Conselheiro Lafaiete,vizinho
311830405000131,Pedra Branca,Urbana,Conselheiro Lafaiete,vizinho
311830405000134,Vila Resende,Urbana,Conselheiro Lafaiete,CNEFE
311830405000135,Rochedo,Urbana,Conselheiro Lafaiete,CNEFE
311830405000136,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000137,Santa Matilde,Urbana,Conselheiro Lafaiete,vizinho
311830405000138,Sao Dimas,Urbana,Conselheiro Lafaiete,CNEFE
311830405000140,Zona rural — Conselheiro Lafaiete,Rural,Conselheiro Lafaiete,distrito
311830405000141,Real de Queluz,Urbana,Conselheiro Lafaiete,vizinho
311830405000142,Quintas do Imperador,Urbana,Conselheiro Lafaiete,CNEFE
311830405000145,Sao Jose,Urbana,Conselheiro Lafaiete,CNEFE
311830405000147,Santa Matilde,Urbana,Conselheiro Lafaiete,CNEFE
311830405000148,Centro,Urbana,Conselheiro Lafaiete,CNEFE
311830405000149,Angelica,Urbana,Conselheiro Lafaiete,CNEFE
311830405000151,Quinta das Flores,Urbana,Conselheiro Lafaiete,CNEFE
311830405000152,Jardim America,Urbana,Conselheiro Lafaiete,CNEFE
311830405000153,Jardim America,Urbana,Conselheiro Lafaiete,vizinho
311830405000154,Fonte Grande,Urbana,Conselheiro Lafaiete,CNEFE
311830405000155,Cachoeira,Urbana,Conselheiro Lafaiete,CNEFE
311830405000156,Pedra Branca,Urbana,Conselheiro Lafaiete,vizinho
311830405000157,Morro da Mina,Urbana,Conselheiro Lafaiete,CNEFE
311830405000158,Bellavinha,Urbana,Conselheiro Lafaiete,CNEFE
311830405000159,Progresso,Urbana,Conselheiro Lafaiete,CNEFE
311830405000160,Sao Joao,Urbana,Conselheiro Lafaiete,CNEFE
