CD_SETOR,bairro,situacao,distrito,fonte_nome
312090405000002,Centro,Urbana,Curvelo,CNEFE
312090405000003,Centro,Urbana,Curvelo,CNEFE
312090405000009,Centro,Urbana,Curvelo,CNEFE
312090405000015,Curiango,Urbana,Curvelo,CNEFE
312090405000019,Vila Nova,Urbana,Curvelo,CNEFE
312090405000020,Passaginha,Urbana,Curvelo,CNEFE
312090405000022,Vila Nova,Urbana,Curvelo,CNEFE
312090405000023,Vila Nova,Urbana,Curvelo,vizinho
312090405000024,Tibira,Urbana,Curvelo,vizinho
312090405000026,Tibira,Urbana,Curvelo,CNEFE
312090405000028,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000029,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000030,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000031,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000033,Bela Vista,Urbana,Curvelo,CNEFE
312090405000038,Santa Rita,Urbana,Curvelo,CNEFE
312090405000039,Santa Rita,Urbana,Curvelo,CNEFE
312090405000040,Bandeirante,Urbana,Curvelo,vizinho
312090405000041,Bom Jesus,Urbana,Curvelo,vizinho
312090405000043,Bandeirante I,Urbana,Curvelo,CNEFE
312090405000048,Jockey Club,Urbana,Curvelo,CNEFE
312090405000049,Moura,Urbana,Curvelo,vizinho
312090405000051,Vila Sao Jose,Urbana,Curvelo,CNEFE
312090405000052,Jardim America,Urbana,Curvelo,CNEFE
312090405000055,Boa Esperanca,Urbana,Curvelo,CNEFE
312090405000056,Moura,Urbana,Curvelo,vizinho
312090405000057,Moura,Urbana,Curvelo,vizinho
312090405000059,Ponte Nova,Urbana,Curvelo,CNEFE
312090405000061,Ponte Nova,Urbana,Curvelo,CNEFE
312090405000062,Ipiranga,Urbana,Curvelo,CNEFE
312090405000063,Moura,Urbana,Curvelo,vizinho
312090405000067,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000068,Fazenda Olhos Dagua,Rural,Curvelo,CNEFE
312090405000070,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000071,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000072,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000073,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000075,Atalho,Rural,Curvelo,CNEFE
312090405000076,Bela Vista,Urbana,Curvelo,CNEFE
312090405000077,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000079,Bom Jesus,Urbana,Curvelo,CNEFE
312090405000081,Bandeirante I,Urbana,Curvelo,vizinho
312090405000082,Santa Filomena,Urbana,Curvelo,CNEFE
312090405000083,Ipiranga,Urbana,Curvelo,CNEFE
312090405000084,Ipiranga,Urbana,Curvelo,CNEFE
312090405000086,Moura,Urbana,Curvelo,vizinho
312090405000087,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000088,Zona rural — Curvelo,Rural,Curvelo,distrito
312090405000090,Centro,Urbana,Curvelo,CNEFE
312090405000091,Centro,Urbana,Curvelo,CNEFE
312090405000092,Palmeiras,Urbana,Curvelo,CNEFE
312090405000094,Curiango,Urbana,Curvelo,CNEFE
312090405000095,Centro,Urbana,Curvelo,CNEFE
312090405000096,Tibira,Urbana,Curvelo,CNEFE
312090405000097,Tibira,Urbana,Curvelo,CNEFE
312090405000098,Vila de Lourdes,Urbana,Curvelo,CNEFE
312090405000099,Bela Vista,Urbana,Curvelo,vizinho
312090405000100,Bela Vista,Urbana,Curvelo,CNEFE
312090405000101,Maria Amalia,Urbana,Curvelo,CNEFE
312090405000104,Santa Rita,Urbana,Curvelo,CNEFE
312090405000107,Santa Rita,Urbana,Curvelo,CNEFE
312090405000109,Atalho,Urbana,Curvelo,vizinho
312090405000112,Guimaraes Rosa,Urbana,Curvelo,vizinho
312090405000113,Guimaraes Rosa,Urbana,Curvelo,vizinho
312090405000115,Bandeirante I,Urbana,Curvelo,vizinho
312090405000118,Atalho,Urbana,Curvelo,vizinho
312090405000119,Bandeirante I,Urbana,Curvelo,vizinho
312090405000120,Jockey Club,Urbana,Curvelo,vizinho
312090405000121,Jockey Club,Urbana,Curvelo,vizinho
312090405000122,Centro,Urbana,Curvelo,vizinho
312090405000123,Moura,Urbana,Curvelo,vizinho
312090405000124,Jardim America,Urbana,Curvelo,CNEFE
312090405000125,Tibira,Urbana,Curvelo,CNEFE
312090405000126,Jardim Paraiso,Urbana,Curvelo,CNEFE
312090405000128,Sao Pedro,Urbana,Curvelo,vizinho
312090405000129,Moura,Urbana,Curvelo,vizinho
312090405000130,Ponte Nova,Urbana,Curvelo,CNEFE
312090405000131,Ponte Nova II,Urbana,Curvelo,CNEFE
312090405000134,Moura,Urbana,Curvelo,vizinho
312090405000136,Bela Vista,Urbana,Curvelo,CNEFE
312090405000137,Bela Vista II,Urbana,Curvelo,CNEFE
312090405000138,Ipiranga,Urbana,Curvelo,CNEFE
312090405000139,Moura,Urbana,Curvelo,vizinho
312090405000140,Centro,Urbana,Curvelo,CNEFE
312090405000141,Centro,Urbana,Curvelo,CNEFE
312090405000142,Bela Vista,Urbana,Curvelo,CNEFE
312090405000143,Bela Vista,Urbana,Curvelo,CNEFE
312090405000145,Bela Vista,Urbana,Curvelo,CNEFE
312090405000146,Maria Amalia,Urbana,Curvelo,CNEFE
312090405000147,Maria Amalia,Urbana,Curvelo,CNEFE
312090405000148,Guimaraes Rosa,Urbana,Curvelo,vizinho
312090405000149,Guimaraes Rosa,Urbana,Curvelo,CNEFE
312090405000150,Santa Cruz,Urbana,Curvelo,CNEFE
312090405000151,Santa Cruz,Urbana,Curvelo,CNEFE
312090405000152,Jockey Club,Urbana,Curvelo,vizinho
312090405000153,Jockey Club,Urbana,Curvelo,vizinho
