CD_SETOR,bairro,situacao,distrito,fonte_nome
312230605000001,Centro,Urbana,Divinópolis,CNEFE
312230605000002,Centro,Urbana,Divinópolis,vizinho
312230605000003,Centro,Urbana,Divinópolis,CNEFE
312230605000004,Centro,Urbana,Divinópolis,CNEFE
312230605000005,Centro,Urbana,Divinópolis,CNEFE
312230605000006,Centro,Urbana,Divinópolis,CNEFE
312230605000007,Centro,Urbana,Divinópolis,vizinho
312230605000008,Vila Cruzeiro,Urbana,Divinópolis,vizinho
312230605000009,Centro,Urbana,Divinópolis,CNEFE
312230605000010,Centro,Urbana,Divinópolis,CNEFE
312230605000011,Centro,Urbana,Divinópolis,CNEFE
312230605000012,Centro,Urbana,Divinópolis,CNEFE
312230605000013,Centro,Urbana,Divinópolis,CNEFE
312230605000014,Centro,Urbana,Divinópolis,CNEFE
312230605000015,Sidil,Urbana,Divinópolis,vizinho
312230605000016,Sidil,Urbana,Divinópolis,CNEFE
312230605000017,Centro,Urbana,Divinópolis,CNEFE
312230605000018,Centro,Urbana,Divinópolis,vizinho
312230605000019,Vila Cruzeiro,Urbana,Divinópolis,vizinho
312230605000020,Vila Cruzeiro,Urbana,Divinópolis,CNEFE
312230605000021,Santa Clara,Urbana,Divinópolis,CNEFE
312230605000022,Santa Clara,Urbana,Divinópolis,vizinho
312230605000023,Centro,Urbana,Divinópolis,CNEFE
312230605000024,Centro,Urbana,Divinópolis,CNEFE
312230605000025,Centro,Urbana,Divinópolis,vizinho
312230605000026,Centro,Urbana,Divinópolis,vizinho
312230605000027,Centro,Urbana,Divinópolis,vizinho
312230605000028,Centro,Urbana,Divinópolis,vizinho
312230605000029,Centro,Urbana,Divinópolis,CNEFE
312230605000030,Catalao,Urbana,Divinópolis,vizinho
312230605000031,Planalto,Urbana,Divinópolis,vizinho
312230605000032,Vila Santo Antonio,Urbana,Divinópolis,vizinho
312230605000033,Ipiranga,Urbana,Divinópolis,CNEFE
312230605000034,Santo Antonio,Urbana,Divinópolis,CNEFE
312230605000035,Jardim Capitao Silva,Urbana,Divinópolis,vizinho
312230605000036,Ipiranga,Urbana,Divinópolis,CNEFE
312230605000037,Ipiranga,Urbana,Divinópolis,CNEFE
312230605000038,Jardim Nova America,Urbana,Divinópolis,CNEFE
312230605000040,Santa Clara,Urbana,Divinópolis,CNEFE
312230605000041,Centro,Urbana,Divinópolis,CNEFE
312230605000042,Antonio Fonseca,Urbana,Divinópolis,vizinho
312230605000043,Esplanada,Urbana,Divinópolis,CNEFE
312230605000044,Esplanada,Urbana,Divinópolis,CNEFE
312230605000045,Sao Joao de Deus,Urbana,Divinópolis,vizinho
312230605000046,Espirito Santo,Urbana,Divinópolis,vizinho
312230605000047,Espirito Santo,Urbana,Divinópolis,CNEFE
312230605000048,Manoel Valinhas,Urbana,Divinópolis,CNEFE
312230605000050,Manoel Valinhas,Urbana,Divinópolis,vizinho
312230605000051,Manoel Valinhas,Urbana,Divinópolis,vizinho
312230605000052,Manoel Valinhas,Urbana,Divinópolis,vizinho
312230605000053,Bom Pastor,Urbana,Divinópolis,vizinho
312230605000054,Residencial Sao Miguel,Urbana,Divinópolis,vizinho
312230605000056,Manoel Valinhas,Urbana,Divinópolis,vizinho
312230605000057,Manoel Valinhas,Urbana,Divinópolis,CNEFE
312230605000058,Universitario,Urbana,Divinópolis,CNEFE
312230605000059,Halim Souki,Urbana,Divinópolis,CNEFE
312230605000060,Itai,Urbana,Divinópolis,CNEFE
312230605000061,Del Rey,Urbana,Divinópolis,CNEFE
312230605000063,Itai,Urbana,Divinópolis,CNEFE
312230605000064,Itai,Urbana,Divinópolis,CNEFE
312230605000065,Sao Luiz,Urbana,Divinópolis,CNEFE
312230605000066,Sao Luiz,Urbana,Divinópolis,CNEFE
312230605000067,Alto Sao Joao de Deus,Urbana,Divinópolis,CNEFE
312230605000068,Sao Joao de Deus,Urbana,Divinópolis,CNEFE
312230605000069,Sao Joao de Deus,Urbana,Divinópolis,CNEFE
312230605000070,Niteroi,Urbana,Divinópolis,CNEFE
312230605000072,Niteroi,Urbana,Divinópolis,vizinho
312230605000073,Niteroi,Urbana,Divinópolis,CNEFE
312230605000074,Porto Velho,Urbana,Divinópolis,vizinho
312230605000075,Porto Velho,Urbana,Divinópolis,CNEFE
312230605000076,Porto Velho,Urbana,Divinópolis,CNEFE
312230605000077,Porto Velho,Urbana,Divinópolis,CNEFE
312230605000078,Porto Velho,Urbana,Divinópolis,CNEFE
312230605000079,Porto Velho,Urbana,Divinópolis,vizinho
312230605000080,Porto Velho,Urbana,Divinópolis,vizinho
312230605000081,Porto Velho,Urbana,Divinópolis,CNEFE
312230605000084,Interlagos,Urbana,Divinópolis,CNEFE
312230605000085,Interlagos,Urbana,Divinópolis,CNEFE
