CD_SETOR,bairro,situacao,distrito,fonte_nome
313760105000002,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000003,Centro,Urbana,Lagoa Santa,CNEFE
313760105000004,Varzea,Urbana,Lagoa Santa,vizinho
313760105000005,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000007,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000008,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000009,Joa,Urbana,Lagoa Santa,CNEFE
313760105000010,Joa,Urbana,Lagoa Santa,CNEFE
313760105000011,Joa,Urbana,Lagoa Santa,CNEFE
313760105000012,Nossa Senhora de Lourdes,Urbana,Lagoa Santa,CNEFE
313760105000013,Francisco Pereira,Urbana,Lagoa Santa,CNEFE
313760105000015,Recanto da Lagoa,Urbana,Lagoa Santa,CNEFE
313760105000016,Condominio Champagne,Urbana,Lagoa Santa,CNEFE
313760105000020,Praia Angelica III,Urbana,Lagoa Santa,CNEFE
313760105000021,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000022,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000024,Condominio Amendoeiras,Urbana,Lagoa Santa,CNEFE
313760105000026,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000027,Conjunto Ovidio Guerra,Urbana,Lagoa Santa,CNEFE
313760105000028,Bela Vista,Urbana,Lagoa Santa,vizinho
313760105000029,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000030,Centro,Urbana,Lagoa Santa,CNEFE
313760105000036,Centro,Urbana,Lagoa Santa,CNEFE
313760105000037,Promissao III,Urbana,Lagoa Santa,vizinho
313760105000039,Vila Maria 3,Urbana,Lagoa Santa,vizinho
313760105000040,Vila Maria 3,Urbana,Lagoa Santa,vizinho
313760105000043,Vila Rica,Urbana,Lagoa Santa,vizinho
313760105000045,Vila Rica,Urbana,Lagoa Santa,vizinho
313760105000048,Zona rural — Lagoa Santa,Rural,Lagoa Santa,distrito
313760105000050,Condominio Metropolitan Business Center,Rural,Lagoa Santa,CNEFE
313760105000058,Condados da Lagoa,Urbana,Lagoa Santa,CNEFE
313760105000064,Sobradinho,Urbana,Lagoa Santa,vizinho
313760105000066,Centro,Urbana,Lagoa Santa,vizinho
313760105000067,Centro,Urbana,Lagoa Santa,vizinho
313760105000068,Centro,Urbana,Lagoa Santa,CNEFE
313760105000069,Centro,Urbana,Lagoa Santa,CNEFE
313760105000071,Varzea,Urbana,Lagoa Santa,vizinho
313760105000072,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000074,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000075,Joa,Urbana,Lagoa Santa,CNEFE
313760105000076,Joa,Urbana,Lagoa Santa,CNEFE
313760105000077,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000078,Joa,Urbana,Lagoa Santa,CNEFE
313760105000080,Joa,Urbana,Lagoa Santa,CNEFE
313760105000081,Joa,Urbana,Lagoa Santa,CNEFE
313760105000082,Joa,Urbana,Lagoa Santa,CNEFE
313760105000083,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000084,Joa,Urbana,Lagoa Santa,CNEFE
313760105000085,Joa,Urbana,Lagoa Santa,CNEFE
313760105000086,Varzea,Urbana,Lagoa Santa,CNEFE
313760105000087,Lagoa Mansoes,Urbana,Lagoa Santa,CNEFE
313760105000088,Lagoa Mansoes,Urbana,Lagoa Santa,CNEFE
313760105000089,Lagoa Mansoes,Urbana,Lagoa Santa,vizinho
313760105000090,Francisco Pereira,Urbana,Lagoa Santa,CNEFE
313760105000091,Francisco Pereira,Urbana,Lagoa Santa,CNEFE
313760105000092,Residencial Real Mont Ville,Urbana,Lagoa Santa,CNEFE
313760105000094,Village do Gramado,Urbana,Lagoa Santa,CNEFE
313760105000095,Village do Gramado,Urbana,Lagoa Santa,vizinho
313760105000096,Novo Santos Drumond,Urbana,Lagoa Santa,CNEFE
313760105000097,Recanto da Lagoa,Urbana,Lagoa Santa,CNEFE
313760105000098,Recanto da Lagoa,Urbana,Lagoa Santa,CNEFE
313760105000099,Recanto da Lagoa,Urbana,Lagoa Santa,CNEFE
313760105000101,Aeronautas,Urbana,Lagoa Santa,CNEFE
313760105000102,Visao,Urbana,Lagoa Santa,CNEFE
313760105000103,Vila dos Ipes,Urbana,Lagoa Santa,CNEFE
313760105000105,Visao,Urbana,Lagoa Santa,CNEFE
313760105000106,Vila Militar,Urbana,Lagoa Santa,CNEFE
313760105000108,Praia Angelica I,Urbana,Lagoa Santa,CNEFE
313760105000109,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000110,Santos Dumont,Urbana,Lagoa Santa,CNEFE
313760105000112,Jardim Ipe,Urbana,Lagoa Santa,CNEFE
313760105000114,Vista Alegre,Urbana,Lagoa Santa,CNEFE
313760105000115,Condominio Amendoeiras,Urbana,Lagoa Santa,vizinho
313760105000118,Condados do Bougainville,Urbana,Lagoa Santa,CNEFE
313760105000120,Jardim Ipe,Urbana,Lagoa Santa,CNEFE
313760105000122,Bela Vista,Urbana,Lagoa Santa,CNEFE
313760105000123,Santos Dumont,Urbana,Lagoa Santa,vizinho
313760105000124,Conjunto Ovidio Guerra,Urbana,Lagoa Santa,vizinho
313760105000125,Santos Dumont,Urbana,Lagoa Santa,vizinho
313760105000126,Centro,Urbana,Lagoa Santa,CNEFE
313760105000127,Centro,Urbana,Lagoa Santa,vizinho
