CD_SETOR,bairro,situacao,distrito,fonte_nome
314000105000001,Centro,Urbana,Mariana,CNEFE
314000105000002,Centro,Urbana,Mariana,CNEFE
314000105000003,Sao Goncalo,Urbana,Mariana,CNEFE
314000105000004,Rosario,Urbana,Mariana,CNEFE
314000105000005,Centro,Urbana,Mariana,CNEFE
314000105000006,Santana,Urbana,Mariana,CNEFE
314000105000007,Sao Sebastiao,Urbana,Mariana,CNEFE
314000105000008,Centro,Urbana,Mariana,CNEFE
314000105000009,Centro,Urbana,Mariana,CNEFE
314000105000010,Centro,Urbana,Mariana,CNEFE
314000105000011,Sao Goncalo,Urbana,Mariana,CNEFE
314000105000012,Rosario,Urbana,Mariana,vizinho
314000105000013,Rosario,Urbana,Mariana,vizinho
314000105000014,Barro Preto,Urbana,Mariana,CNEFE
314000105000015,Nossa Senhora Aparecida,Urbana,Mariana,vizinho
314000105000016,Vila Del Rei,Urbana,Mariana,vizinho
314000105000017,Cruzeiro do Sul,Urbana,Mariana,vizinho
314000105000018,Vila do Carmo,Urbana,Mariana,CNEFE
314000105000019,Vila do Carmo,Urbana,Mariana,CNEFE
314000105000020,Rosario,Urbana,Mariana,CNEFE
314000105000021,Rosario,Urbana,Mariana,vizinho
314000105000022,Sao Cristovao,Urbana,Mariana,vizinho
314000105000023,Sao Sebastiao,Urbana,Mariana,vizinho
314000105000024,Pico da Cartuxa,Urbana,Mariana,vizinho
314000105000025,Cabanas,Urbana,Mariana,CNEFE
314000105000026,Rosario,Urbana,Mariana,CNEFE
314000105000027,Jardim dos Inconfidentes,Urbana,Mariana,CNEFE
314000105000028,Jardim Santana,Urbana,Mariana,CNEFE
314000105000029,Sao Cristovao,Urbana,Mariana,CNEFE
314000105000030,Cabanas,Urbana,Mariana,CNEFE
314000105000031,Cartuxa,Urbana,Mariana,CNEFE
314000105000032,Cabanas,Urbana,Mariana,CNEFE
314000105000033,Cabanas,Urbana,Mariana,CNEFE
314000105000034,Cabanas,Urbana,Mariana,CNEFE
314000105000035,Santa Rita de Cassia,Urbana,Mariana,vizinho
314000105000036,Vila Maquine,Urbana,Mariana,CNEFE
314000105000040,Zona rural — Mariana,Rural,Mariana,distrito
314000105000041,Centro,Urbana,Mariana,CNEFE
314000105000042,Centro,Urbana,Mariana,vizinho
314000105000043,Sao Sebastiao,Urbana,Mariana,CNEFE
314000105000044,Cruzeiro do Sul,Urbana,Mariana,CNEFE
314000105000045,Sao Goncalo,Urbana,Mariana,CNEFE
314000105000046,Rosario,Urbana,Mariana,vizinho
314000105000047,Barro Preto,Urbana,Mariana,vizinho
314000105000049,Rosario,Urbana,Mariana,vizinho
314000105000050,Rosario,Urbana,Mariana,vizinho
314000105000051,Jardim Santana,Urbana,Mariana,vizinho
314000105000052,Vale Verde,Urbana,Mariana,CNEFE
314000105000054,Sao Cristovao,Urbana,Mariana,CNEFE
314000105000055,Passagem de Mariana,Urbana,Mariana,vizinho
314000105000056,Vale Verde,Urbana,Mariana,vizinho
314000105000057,Cabanas,Urbana,Mariana,CNEFE
314000105000058,Cabanas,Urbana,Mariana,vizinho
314000105000059,Pico da Cartuxa,Urbana,Mariana,vizinho
314000105000060,Barro Preto,Urbana,Mariana,CNEFE
314000105000061,Galego,Urbana,Mariana,CNEFE
314000105000062,Nossa Senhora Aparecida,Urbana,Mariana,CNEFE
314000105000063,Nossa Senhora Aparecida,Urbana,Mariana,vizinho
314000105000064,Sao Pedro,Urbana,Mariana,CNEFE
314000105000065,Sao Pedro,Urbana,Mariana,vizinho
314000105000066,Sao Pedro,Urbana,Mariana,CNEFE
314000105000067,Nossa Senhora Aparecida,Urbana,Mariana,vizinho
314000105000068,Pico da Cartuxa,Urbana,Mariana,vizinho
314000105000069,Sao Jose,Urbana,Mariana,CNEFE
314000105000073,Cabanas,Urbana,Mariana,CNEFE
314000105000074,Santa Rita de Cassia,Urbana,Mariana,CNEFE
314000105000076,Cabanas,Urbana,Mariana,CNEFE
