CD_SETOR,bairro,situacao,distrito,fonte_nome
314710505000001,Centro,Urbana,Pará de Minas,CNEFE
314710505000002,Nossa Senhora das Gracas,Urbana,Pará de Minas,CNEFE
314710505000003,Nossa Senhora das Gracas,Urbana,Pará de Minas,CNEFE
314710505000004,Centro,Urbana,Pará de Minas,vizinho
314710505000005,Coracao de Jesus,Urbana,Pará de Minas,vizinho
314710505000007,Centro,Urbana,Pará de Minas,vizinho
314710505000009,Dona Tunica,Urbana,Pará de Minas,vizinho
314710505000010,Dona Tunica,Urbana,Pará de Minas,vizinho
314710505000011,Dona Tunica,Urbana,Pará de Minas,CNEFE
314710505000012,Sao Antonio,Urbana,Pará de Minas,CNEFE
314710505000013,Nossa Senhora das Gracas,Urbana,Pará de Minas,CNEFE
314710505000014,Belvedere,Urbana,Pará de Minas,CNEFE
314710505000015,Belvedere,Urbana,Pará de Minas,CNEFE
314710505000016,Belvedere,Urbana,Pará de Minas,CNEFE
314710505000017,Independencia,Urbana,Pará de Minas,CNEFE
314710505000018,Coracao de Jesus,Urbana,Pará de Minas,vizinho
314710505000019,Sao Jose,Urbana,Pará de Minas,CNEFE
314710505000020,Sao Jose,Urbana,Pará de Minas,CNEFE
314710505000021,Sao Cristovao,Urbana,Pará de Minas,vizinho
314710505000022,Dona Flor,Urbana,Pará de Minas,vizinho
314710505000023,Sao Jose,Urbana,Pará de Minas,vizinho
314710505000024,Dona Flor,Urbana,Pará de Minas,CNEFE
314710505000025,Esplanada,Urbana,Pará de Minas,vizinho
314710505000026,Esplanada,Urbana,Pará de Minas,vizinho
314710505000027,Esplanada,Urbana,Pará de Minas,vizinho
314710505000028,Sao Cristovao,Urbana,Pará de Minas,vizinho
314710505000030,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000031,Esplanada,Urbana,Pará de Minas,CNEFE
314710505000032,Juscelino Kubitschek,Urbana,Pará de Minas,CNEFE
314710505000033,Ozanam,Urbana,Pará de Minas,CNEFE
314710505000034,Conjunto Habitacional Sao Vicente de Paula,Urbana,Pará de Minas,CNEFE
314710505000035,Novo Horizonte,Urbana,Pará de Minas,CNEFE
314710505000036,Ozanam,Urbana,Pará de Minas,CNEFE
314710505000037,Grao Para,Urbana,Pará de Minas,CNEFE
314710505000039,Gorduras,Urbana,Pará de Minas,CNEFE
314710505000040,Sao Pedro,Urbana,Pará de Minas,CNEFE
314710505000041,Sao Pedro,Urbana,Pará de Minas,CNEFE
314710505000042,Uniao,Urbana,Pará de Minas,CNEFE
314710505000043,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000044,Santos Dumont,Urbana,Pará de Minas,CNEFE
314710505000045,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000046,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000047,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000048,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000049,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000051,Santos Dumont,Urbana,Pará de Minas,CNEFE
314710505000052,Santos Dumont,Urbana,Pará de Minas,CNEFE
314710505000053,Conjunto Habitacional Jose Pereira Campos,Urbana,Pará de Minas,CNEFE
314710505000054,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000055,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000056,Santos Dumont,Urbana,Pará de Minas,CNEFE
314710505000057,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000058,Santos Dumont,Urbana,Pará de Minas,vizinho
314710505000059,Padre Liberio,Urbana,Pará de Minas,vizinho
314710505000061,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000062,Papa Joao Paulo II,Urbana,Pará de Minas,CNEFE
314710505000063,Providencia,Urbana,Pará de Minas,CNEFE
314710505000064,Providencia,Urbana,Pará de Minas,CNEFE
314710505000065,Recanto,Urbana,Pará de Minas,CNEFE
314710505000066,Recanto,Urbana,Pará de Minas,CNEFE
314710505000067,Recanto,Urbana,Pará de Minas,CNEFE
314710505000068,Recanto,Urbana,Pará de Minas,CNEFE
314710505000069,Recanto,Urbana,Pará de Minas,CNEFE
314710505000070,Santa Edwirges,Urbana,Pará de Minas,CNEFE
314710505000072,Jardim Beatriz,Urbana,Pará de Minas,CNEFE
314710505000073,Jardim Serra Verde,Urbana,Pará de Minas,CNEFE
314710505000074,Dom Bosco,Urbana,Pará de Minas,CNEFE
314710505000075,Jardim das Piteiras,Urbana,Pará de Minas,CNEFE
314710505000076,Sao Luis,Urbana,Pará de Minas,CNEFE
314710505000077,Santo Antonio,Urbana,Pará de Minas,CNEFE
314710505000078,Sao Francisco,Urbana,Pará de Minas,CNEFE
314710505000079,Providencia,Urbana,Pará de Minas,CNEFE
314710505000080,Providencia,Urbana,Pará de Minas,CNEFE
314710505000081,Recanto da Lagoa,Urbana,Pará de Minas,CNEFE
314710505000082,Providencia,Urbana,Pará de Minas,CNEFE
314710505000083,Sao Francisco,Urbana,Pará de Minas,CNEFE
314710505000084,Providencia,Urbana,Pará de Minas,CNEFE
314710505000085,Sao Francisco,Urbana,Pará de Minas,CNEFE
314710505000086,Sao Francisco,Urbana,Pará de Minas,CNEFE
314710505000087,Zona rural — Pará de Minas,Rural,Pará de Minas,distrito
314710505000089,Catumba,Rural,Pará de Minas,CNEFE
314710505000090,Pará de Minas — sem bairro declarado,Urbana,Pará de Minas,distrito
314710505000091,Caetano Preto,Rural,Pará de Minas,CNEFE
314710505000093,Meireles,Rural,Pará de Minas,CNEFE
314710505000094,Centro,Urbana,Pará de Minas,CNEFE
314710505000095,Centro,Urbana,Pará de Minas,CNEFE
314710505000096,Nossa Senhora das Gracas,Urbana,Pará de Minas,vizinho
314710505000097,Coracao de Jesus,Urbana,Pará de Minas,CNEFE
314710505000099,Alzembeque,Urbana,Pará de Minas,CNEFE
314710505000100,Belvedere,Urbana,Pará de Minas,CNEFE
314710505000101,Independencia,Urbana,Pará de Minas,vizinho
314710505000104,Sao Cristovao,Urbana,Pará de Minas,vizinho
314710505000105,Sao Cristovao,Urbana,Pará de Minas,vizinho
314710505000107,Padre Liberio,Urbana,Pará de Minas,CNEFE
314710505000108,Jardim America,Urbana,Pará de Minas,CNEFE
314710505000109,Jardim America,Urbana,Pará de Minas,CNEFE
314710505000110,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000111,Providencia,Urbana,Pará de Minas,CNEFE
314710505000112,Providencia,Urbana,Pará de Minas,CNEFE
314710505000113,Recanto,Urbana,Pará de Minas,vizinho
314710505000114,Recanto,Urbana,Pará de Minas,CNEFE
314710505000115,Recanto,Urbana,Pará de Minas,vizinho
314710505000117,Jardim Serra Verde,Urbana,Pará de Minas,vizinho
314710505000121,Providencia,Urbana,Pará de Minas,CNEFE
314710505000122,Recanto da Lagoa,Urbana,Pará de Minas,CNEFE
314710505000123,Sao Francisco,Urbana,Pará de Minas,CNEFE
314710505000124,Alto Sao Luis,Urbana,Pará de Minas,CNEFE
314710505000126,Dona Tunica,Urbana,Pará de Minas,CNEFE
314710505000127,Dom Bosco,Urbana,Pará de Minas,CNEFE
314710505000128,Belvedere,Urbana,Pará de Minas,CNEFE
314710505000131,Sao Jose,Urbana,Pará de Minas,vizinho
314710505000132,Sao Jose,Urbana,Pará de Minas,vizinho
314710505000134,Sao Cristovao,Urbana,Pará de Minas,CNEFE
314710505000135,Bras Correia,Urbana,Pará de Minas,vizinho
314710505000136,Juscelino Kubitschek,Urbana,Pará de Minas,CNEFE
314710505000137,Sao Pedro,Urbana,Pará de Minas,CNEFE
314710505000138,Grao Para,Urbana,Pará de Minas,CNEFE
314710505000140,Sao Pedro,Urbana,Pará de Minas,CNEFE
314710505000141,Uniao,Urbana,Pará de Minas,CNEFE
314710505000144,Prefeito Walter Martins Ferreira,Urbana,Pará de Minas,CNEFE
