CD_SETOR,bairro,situacao,distrito,fonte_nome
316250005000001,Centro,Urbana,São João del Rei,IBGE
316250005000002,Centro,Urbana,São João del Rei,IBGE
316250005000003,Centro,Urbana,São João del Rei,IBGE
316250005000004,Centro,Urbana,São João del Rei,IBGE
316250005000005,Centro,Urbana,São João del Rei,IBGE
316250005000006,Centro,Urbana,São João del Rei,IBGE
316250005000007,Centro,Urbana,São João del Rei,IBGE
316250005000008,Centro,Urbana,São João del Rei,IBGE
316250005000009,Centro,Urbana,São João del Rei,IBGE
316250005000010,Centro,Urbana,São João del Rei,IBGE
316250005000011,Centro,Urbana,São João del Rei,IBGE
316250005000012,Centro,Urbana,São João del Rei,IBGE
316250005000013,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000014,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000015,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000016,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000017,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000018,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000019,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000020,Fábricas,Urbana,São João del Rei,IBGE
316250005000023,Fábricas,Urbana,São João del Rei,IBGE
316250005000024,Fábricas,Urbana,São João del Rei,IBGE
316250005000026,Fábricas,Urbana,São João del Rei,IBGE
316250005000027,Fábricas,Urbana,São João del Rei,IBGE
316250005000028,Fábricas,Urbana,São João del Rei,IBGE
316250005000029,Fábricas,Urbana,São João del Rei,IBGE
316250005000031,Fábricas,Urbana,São João del Rei,IBGE
316250005000032,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000033,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000035,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000036,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000038,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000040,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000041,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000042,Matosinhos,Urbana,São João del Rei,IBGE
316250005000043,Matosinhos,Urbana,São João del Rei,IBGE
316250005000044,Matosinhos,Urbana,São João del Rei,IBGE
316250005000045,Matosinhos,Urbana,São João del Rei,IBGE
316250005000046,Matosinhos,Urbana,São João del Rei,IBGE
316250005000047,Matosinhos,Urbana,São João del Rei,IBGE
316250005000048,Matosinhos,Urbana,São João del Rei,IBGE
316250005000049,Matosinhos,Urbana,São João del Rei,IBGE
316250005000050,Matosinhos,Urbana,São João del Rei,IBGE
316250005000052,Matosinhos,Urbana,São João del Rei,IBGE
316250005000053,Matosinhos,Urbana,São João del Rei,IBGE
316250005000054,Matosinhos,Urbana,São João del Rei,IBGE
316250005000056,Matosinhos,Urbana,São João del Rei,IBGE
316250005000058,Matosinhos,Urbana,São João del Rei,IBGE
316250005000059,Matosinhos,Urbana,São João del Rei,IBGE
316250005000060,Matosinhos,Urbana,São João del Rei,IBGE
316250005000061,Matosinhos,Urbana,São João del Rei,IBGE
316250005000062,Matosinhos,Urbana,São João del Rei,IBGE
316250005000063,Matosinhos,Urbana,São João del Rei,IBGE
316250005000064,Matosinhos,Urbana,São João del Rei,IBGE
316250005000065,Matosinhos,Urbana,São João del Rei,IBGE
316250005000068,Jardim Central,Urbana,São João del Rei,IBGE
316250005000069,Jardim Central,Urbana,São João del Rei,IBGE
316250005000070,Bonfim,Urbana,São João del Rei,IBGE
316250005000072,Bonfim,Urbana,São João del Rei,IBGE
316250005000073,Bonfim,Urbana,São João del Rei,IBGE
316250005000075,Tejuco,Urbana,São João del Rei,IBGE
316250005000076,Tejuco,Urbana,São João del Rei,IBGE
316250005000077,Tejuco,Urbana,São João del Rei,IBGE
316250005000078,Tejuco,Urbana,São João del Rei,IBGE
316250005000079,Tejuco,Urbana,São João del Rei,IBGE
316250005000080,Tejuco,Urbana,São João del Rei,IBGE
316250005000083,Tejuco,Urbana,São João del Rei,IBGE
316250005000084,Tejuco,Urbana,São João del Rei,IBGE
316250005000086,Tejuco,Urbana,São João del Rei,IBGE
316250005000087,Tejuco,Urbana,São João del Rei,IBGE
316250005000088,Tejuco,Urbana,São João del Rei,IBGE
316250005000089,Tejuco,Urbana,São João del Rei,IBGE
316250005000090,Tejuco,Urbana,São João del Rei,IBGE
316250005000091,Tejuco,Urbana,São João del Rei,IBGE
316250005000093,Mambengo,Rural,São João del Rei,CNEFE
316250005000094,Centro,Urbana,São João del Rei,IBGE
316250005000095,Centro,Urbana,São João del Rei,IBGE
316250005000096,Centro,Urbana,São João del Rei,IBGE
316250005000097,Centro,Urbana,São João del Rei,IBGE
316250005000098,Fábricas,Urbana,São João del Rei,IBGE
316250005000100,Fábricas,Urbana,São João del Rei,IBGE
316250005000101,Fábricas,Urbana,São João del Rei,IBGE
316250005000102,Fábricas,Urbana,São João del Rei,IBGE
316250005000103,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000104,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000107,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000108,Matosinhos,Urbana,São João del Rei,IBGE
316250005000109,Matosinhos,Urbana,São João del Rei,IBGE
316250005000110,Matosinhos,Urbana,São João del Rei,IBGE
316250005000111,Matosinhos,Urbana,São João del Rei,IBGE
316250005000112,Matosinhos,Urbana,São João del Rei,IBGE
316250005000113,Matosinhos,Urbana,São João del Rei,IBGE
316250005000114,Matosinhos,Urbana,São João del Rei,IBGE
316250005000115,Matosinhos,Urbana,São João del Rei,IBGE
316250005000117,Bonfim,Urbana,São João del Rei,IBGE
316250005000118,Tejuco,Urbana,São João del Rei,IBGE
316250005000119,Tejuco,Urbana,São João del Rei,IBGE
316250005000121,Tejuco,Urbana,São João del Rei,IBGE
316250005000122,Tejuco,Urbana,São João del Rei,IBGE
316250005000123,Tejuco,Urbana,São João del Rei,IBGE
316250005000124,Tejuco,Urbana,São João del Rei,IBGE
316250005000125,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000126,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000127,Senhor dos Montes,Urbana,São João del Rei,IBGE
316250005000128,Colônia do Marçal,Urbana,São João del Rei,IBGE
316250005000129,Matosinhos,Urbana,São João del Rei,IBGE
