CD_SETOR,bairro,situacao,distrito,fonte_nome
317020605000001,Centro,Urbana,Uberlândia,IBGE
317020605000003,Centro,Urbana,Uberlândia,IBGE
317020605000004,Centro,Urbana,Uberlândia,IBGE
317020605000005,Centro,Urbana,Uberlândia,IBGE
317020605000007,Centro,Urbana,Uberlândia,IBGE
317020605000008,Centro,Urbana,Uberlândia,IBGE
317020605000009,Centro,Urbana,Uberlândia,IBGE
317020605000010,Centro,Urbana,Uberlândia,IBGE
317020605000011,Centro,Urbana,Uberlândia,IBGE
317020605000012,Centro,Urbana,Uberlândia,IBGE
317020605000013,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000014,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000015,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000016,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000017,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000018,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000019,Bom Jesus,Urbana,Uberlândia,IBGE
317020605000020,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000021,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000022,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000023,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000024,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000025,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000026,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000027,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000028,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000029,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000030,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000031,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000032,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000033,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000034,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000035,Nossa Senhora Aparecida,Urbana,Uberlândia,IBGE
317020605000036,Cazeca,Urbana,Uberlândia,IBGE
317020605000037,Cazeca,Urbana,Uberlândia,IBGE
317020605000038,Cazeca,Urbana,Uberlândia,IBGE
317020605000039,Lídice,Urbana,Uberlândia,IBGE
317020605000040,Lídice,Urbana,Uberlândia,IBGE
317020605000042,Lídice,Urbana,Uberlândia,IBGE
317020605000043,Lídice,Urbana,Uberlândia,IBGE
317020605000044,Lídice,Urbana,Uberlândia,IBGE
317020605000045,Fundinho,Urbana,Uberlândia,IBGE
317020605000047,Fundinho,Urbana,Uberlândia,IBGE
317020605000049,Tabajaras,Urbana,Uberlândia,IBGE
317020605000051,Tabajaras,Urbana,Uberlândia,IBGE
317020605000052,Tabajaras,Urbana,Uberlândia,IBGE
317020605000053,Tabajaras,Urbana,Uberlândia,IBGE
317020605000054,Tabajaras,Urbana,Uberlândia,IBGE
317020605000055,Tabajaras,Urbana,Uberlândia,IBGE
317020605000056,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000057,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000058,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000059,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000060,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000061,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000062,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000063,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000064,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000065,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000066,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000067,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000068,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000069,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000070,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000071,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000072,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000073,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000074,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000075,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000076,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000077,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000078,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000079,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000080,Osvaldo Rezende,Urbana,Uberlândia,IBGE
317020605000081,Martins,Urbana,Uberlândia,IBGE
317020605000082,Martins,Urbana,Uberlândia,IBGE
317020605000083,Martins,Urbana,Uberlândia,IBGE
317020605000084,Martins,Urbana,Uberlândia,IBGE
317020605000085,Martins,Urbana,Uberlândia,IBGE
317020605000086,Martins,Urbana,Uberlândia,IBGE
317020605000087,Martins,Urbana,Uberlândia,IBGE
317020605000088,Martins,Urbana,Uberlândia,IBGE
317020605000089,Martins,Urbana,Uberlândia,IBGE
317020605000090,Martins,Urbana,Uberlândia,IBGE
317020605000091,Martins,Urbana,Uberlândia,IBGE
317020605000092,Martins,Urbana,Uberlândia,IBGE
317020605000093,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000094,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000095,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000096,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000097,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000098,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000099,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000100,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000101,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000102,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000103,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000104,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000106,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000107,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000108,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000109,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000110,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000111,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000112,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000113,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000114,Presidente Roosevelt,Urbana,Uberlândia,IBGE
317020605000115,Marta Helena,Urbana,Uberlândia,IBGE
317020605000116,Marta Helena,Urbana,Uberlândia,IBGE
317020605000117,Marta Helena,Urbana,Uberlândia,IBGE
317020605000118,Marta Helena,Urbana,Uberlândia,IBGE
317020605000119,Marta Helena,Urbana,Uberlândia,IBGE
317020605000120,Marta Helena,Urbana,Uberlândia,IBGE
317020605000121,Marta Helena,Urbana,Uberlândia,IBGE
317020605000122,Marta Helena,Urbana,Uberlândia,IBGE
317020605000123,Marta Helena,Urbana,Uberlândia,IBGE
317020605000124,Marta Helena,Urbana,Uberlândia,IBGE
317020605000125,Marta Helena,Urbana,Uberlândia,IBGE
317020605000126,Marta Helena,Urbana,Uberlândia,IBGE
317020605000127,Brasil,Urbana,Uberlândia,IBGE
317020605000128,Brasil,Urbana,Uberlândia,IBGE
317020605000129,Brasil,Urbana,Uberlândia,IBGE
317020605000130,Brasil,Urbana,Uberlândia,IBGE
317020605000131,Brasil,Urbana,Uberlândia,IBGE
317020605000132,Brasil,Urbana,Uberlândia,IBGE
317020605000133,Brasil,Urbana,Uberlândia,IBGE
317020605000134,Brasil,Urbana,Uberlândia,IBGE
317020605000135,Brasil,Urbana,Uberlândia,IBGE
317020605000136,Brasil,Urbana,Uberlândia,IBGE
317020605000137,Brasil,Urbana,Uberlândia,IBGE
317020605000138,Brasil,Urbana,Uberlândia,IBGE
317020605000139,Brasil,Urbana,Uberlândia,IBGE
317020605000140,Brasil,Urbana,Uberlândia,IBGE
317020605000141,Brasil,Urbana,Uberlândia,IBGE
317020605000142,Brasil,Urbana,Uberlândia,IBGE
317020605000143,Tibery,Urbana,Uberlândia,IBGE
317020605000144,Tibery,Urbana,Uberlândia,IBGE
317020605000145,Tibery,Urbana,Uberlândia,IBGE
317020605000146,Tibery,Urbana,Uberlândia,IBGE
317020605000147,Tibery,Urbana,Uberlândia,IBGE
317020605000148,Tibery,Urbana,Uberlândia,IBGE
317020605000149,Tibery,Urbana,Uberlândia,IBGE
317020605000150,Tibery,Urbana,Uberlândia,IBGE
317020605000151,Tibery,Urbana,Uberlândia,IBGE
317020605000152,Tibery,Urbana,Uberlândia,IBGE
317020605000153,Tibery,Urbana,Uberlândia,IBGE
317020605000154,Tibery,Urbana,Uberlândia,IBGE
317020605000155,Tibery,Urbana,Uberlândia,IBGE
317020605000156,Tibery,Urbana,Uberlândia,IBGE
317020605000157,Tibery,Urbana,Uberlândia,IBGE
317020605000158,Tibery,Urbana,Uberlândia,IBGE
317020605000159,Tibery,Urbana,Uberlândia,IBGE
317020605000160,Tibery,Urbana,Uberlândia,IBGE
317020605000161,Tibery,Urbana,Uberlândia,IBGE
317020605000162,Tibery,Urbana,Uberlândia,IBGE
317020605000163,Tibery,Urbana,Uberlândia,IBGE
317020605000164,Tibery,Urbana,Uberlândia,IBGE
317020605000165,Tibery,Urbana,Uberlândia,IBGE
317020605000166,Saraiva,Urbana,Uberlândia,IBGE
317020605000167,Saraiva,Urbana,Uberlândia,IBGE
317020605000168,Saraiva,Urbana,Uberlândia,IBGE
317020605000169,Saraiva,Urbana,Uberlândia,IBGE
317020605000170,Saraiva,Urbana,Uberlândia,IBGE
317020605000171,Saraiva,Urbana,Uberlândia,IBGE
317020605000172,Saraiva,Urbana,Uberlândia,IBGE
317020605000173,Saraiva,Urbana,Uberlândia,IBGE
317020605000174,Saraiva,Urbana,Uberlândia,IBGE
317020605000175,Saraiva,Urbana,Uberlândia,IBGE
317020605000176,Vigilato Pereira,Urbana,Uberlândia,IBGE
317020605000177,Vigilato Pereira,Urbana,Uberlândia,IBGE
317020605000178,Vigilato Pereira,Urbana,Uberlândia,IBGE
