NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
26;1031;COLÉGIO BATISTA MINEIRO;RUA PLOMBAGINA, 305;4778;41
26;1040;COLÉGIO SANTA MARIA;RUA JACUI, 237;5287;53
26;1058;COLÉGIO SÃO LUIZ GONZAGA;RUA GENERAL CARNEIRO, 397;3096;22
26;1074;COLÉGIO TIRADENTES DA POLÍCIA MILITAR;PRAÇA DUQUE DE CAXIAS, S/N;5742;30
26;1090;ESCOLA ESTADUAL HELENA PENA;RUA GENOVEVA DE SOUZA, 691;3597;26
26;1112;PLUG MINAS;RUA SANTO AGOSTINHO, 1441;5362;27
26;1120;ESCOLA ESTADUAL SAGRADA FAMÍLIA;RUA CÉLIA DE SOUZA, 600;4881;34
26;1139;ESCOLA ESTADUAL SANDOVAL DE AZEVEDO;RUA POUSO ALEGRE, 2382;3176;34
26;1155;ESCOLA MUNICIPAL DOMICIANO VIEIRA;RUA SÃO BENTO, 1591;2938;12
26;1163;COLÉGIO TIRADENTES 2;PRAÇA DUQUE DE CAXIAS, S/N;844;2
26;1236;SESC - UNIDADE DE SERVICOS FLORESTA;RUA POUSO ALEGRE, 1647;1908;16
26;1287;COLÉGIO SÃO JOSÉ;RUA BUENO BRANDÃO,151;2579;10
26;1295;COLÉGIO MAGNUM AGOSTINIANO;RUA SÃO GONÇALO,1364;4188;53
26;1309;COLÉGIO SÃO MIGUEL ARCANJO;RUA ILDEFONSO ALVIM,131;4804;45
26;1325;ESCOLA MUNICIPAL GOVERNADOR CARLOS LACERDA;RUA PRINCESA LEOPOLDINA, 490;3041;18
26;1333;COLÉGIO MAXIMUS;RUA ITACARAMBI,108;3759;25
26;1350;ESCOLA MUNICIPAL EMÍDIO BERUTTO;RUA CONCEIÇÃO DO PARÁ, 1726;2304;15
26;1368;COLÉGIO TIRADENTES DA POLÍCIA MILITAR - SEÇÃO ESPECIAL;PRAÇA DUQUE DE CAXIAS, S/N;90;0
26;1406;COLÉGIO LOGOSÓFICO - CIDADE NOVA;AV. JOSÉ CÂNDIDO DA SILVEIRA, 330;959;18
27;1058;ESCOLA ESTADUAL MENDES PIMENTEL;RUA NAIR DUARTE DE BARROS, 5;2897;48
27;1082;ESCOLA SESI NEWTON ANTONIO DA SILVA PEREIRA;RUA AIURUOCA, 539;1881;8
27;1090;ESCOLA MUNICIPAL FRANCISCO BRESSANE DE AZEVEDO;RUA AIURUOCA, 501;1393;2
27;1112;ESCOLA ESTADUAL LAUDIEME VAZ DE MELO;RUA CAMILO PRATES, 238;2647;15
27;1120;ESCOLA MUNICIPAL ANISIO TEIXEIRA;RUA BOLIVAR,  10;5219;19
27;1147;COLEGIO ESPANHOL SANTA MARIA;RUA PROFESSOR COSTA CHIABI, 15;5535;68
27;1155;ESCOLA MUNICIPAL PROFESSORA MARIA MODESTA CRAVO;RUA DR JULIO OTAVIANO FERREIRA 1085;5253;40
27;1309;E.M. HENRIQUETA LISBOA (UNIDADE DO BAIRRO FERNÃO DIAS);RUA GEORGINA DE PADUA, 207;3569;12
27;1325;ESCOLA MUNICIPAL HONORINA RABELO;RUA MARIA DA CONCEICAO BONFIM, 315;3018;16
27;1384;ESCOLA MUNICIPAL PREFEITO SOUZA LIMA;RUA DOS PARAGUAIOS, 97;2633;6
27;1430;E.M. MARIA DA ASSUNÇÃO DE MARCO;RUA ANA HORTA, 98;3063;8
27;1449;ESCOLA ESTADUAL LUIZ DE BESSA;RUA ASA BRANCA, 103;4136;25
27;1457;ESCOLA ESTADUAL CARLOS CAMPOS;RUA MARIA AZEVEDO COSTA, 98;1747;13
27;1465;E. E. PROF. MARIA AMELIA GUIMARAES;RUA AMARAL, 32;4380;15
27;1473;ESCOLA ESTADUAL SERGIA CALDEIRA ALKIMIN;RUA SANTA EDWIGES, 336;2541;16
27;1481;ESCOLA ESTADUAL JOSE IZIDORO DE MIRANDA;RUA FRANCELINA ALVES DE MIRANDA, 468;3064;10
27;1511;ESCOLA ESTADUAL PROF. MARIA DE LOURDES OLIVEIRA;RUA BARREIRO GRANDE, S/N;3248;17
27;1520;ESCOLA MUNICIPAL PROF. MILTON LAGE;RUA A, 70;4155;7
27;1538;ESCOLA MUNICIPAL PROFESSORA HELENA ABDALLA;RUA ARNALDO LOURENÇO, 602;2501;14
28;1015;E. M. PE. FRANCISCO CARVALHO MOREIRA;AV. ITAITUBA,  12;1820;8
28;1023;E. M. PROF. ALCIDA TORRES;RUA ALVARO FERNANDES   , 144;3653;10
28;1031;E. M. FERNANDO DIAS COSTA;RUA PEDRO ALEXANDRINO MENDONCA, 10;2750;2
28;1040;E. E. ENGENHEIRO PRADO LOPES;RUA ITAGUA   ,320;1626;2
28;1619;E. E. ONDINA AMARAL BRANDAO;RUA CASA BRANCA  ,40;1943;8
28;1627;COLÉGIO NOSSA SENHORA DAS DORES;RUA AMAZONITA, 100;4105;24
28;1678;E. E. CAMINHO A LUZ;RUA CRAVINAS  , 537;2248;13
28;1686;E. E. GERALDINA SOARES;RUA BONINAS  ,  517;2394;13
28;1724;E. E. CEL. VICENTE TORRES JUNIOR;RUA LEOPOLDO GOMES   ,1302;3039;5
28;1732;E. E. JULIA LOPES DE ALMEIDA;RUA PADRE JULIO MARIA   ,177;2025;8
28;1740;E. E. NECESIO TAVARES;RUA FERNAO DIAS  ,7;2871;3
28;1775;CENTRO COMUNIT. DA PAROQUIA SANTA CRUZ;RUA GENERAL OSORIO, 485;905;4
28;1791;E. E. CORACAO EUCARISTICO;RUA ARCOS  , 410;2459;10
28;1813;E. M. ISRAEL PINHEIRO;RUA DESEMBARGADOR BRAULIO   ,1147;4369;6
28;1821;E. M. GEORGE RICARDO SALUM;RUA DESEMBARGADOR BRAULIO   . 2250;2686;10
28;1872;COLEGIO ABGAR RENAULT;RUA GUIMARANIA, 108;2293;2
28;1880;COLEGIO NORMAL FREDERICO OZANAN;RUA JERONIMO MONTEIRO  ,48;1812;20
28;1899;E. E. ASSIS CHATEAUBRIAND;RUA MARZAGANIA   ,289;3608;19
28;1902;E. E. CARLOS GOES;RUA ERNESTO AUSTIN  ,420;3160;9
28;1910;E. E. ENG. SILVIO FONSECA;RUA SIMAO PEREIRA   ,60;2731;9
28;1929;E. E. PAULO DAS GRAÇAS DA SILVA;RUA SILVA REIS, 80;3618;12
28;1937;E. M.  WLADIMIR DE PAULA GOMES;RUA UARIRA,  350;3993;12
28;1945;E, E.  WALT DISNEY;RUA RAUL DE BRITO   ,13;2912;10
28;1953;E. M. MONS. JOAO RODRIGUES DE OLIVEIRA;RUA ARAPARI, 95;3867;19
28;1961;E. M. DOUTOR JULIO SOARES;RUA SÃO VICENTE, 200;1693;5
28;1970;ESCOLA ESTADUAL JÚLIA LOPES DE ALMEIDA - DEFICIENTES;RUA PADRE JULIO MARIA, 177;109;1
29;1015;COLEGIO PADRE EUSTAQUIO;RUA CESARIO ALVIM, 810;5470;54
29;1023;ESCOLA ESTADUAL CRISTIANO MACHADO;RUA FRANCISCO BICALHO  , 71 ;1940;7
29;1031;ESCOLA ESTADUAL PEDRO DUTRA;RUA HUMAITÁ, 1094;1204;8
29;1040;ESCOLA DE MUSICA DA UEMG;RUA RIACHUELO  ,1351;2334;12
29;1066;ESCOLA ESTADUAL DES. MARIO GONCALVES DE MATOS;PRAÇA CAPELA NOVA, 20;2147;24
29;1074;ESCOLA ESTADUAL ASSIS DAS CHAGAS;PRACA DA COMUNIDADE   ,165;1831;6
29;1082;CRECHE BOM PASTOR;PRACA DA COMUNIDADE, 94;1027;10
29;1112;PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERAIS;AV. DOM JOSÉ GASPAR, 500;5833;78
29;1201;ESCOLA ESTADUAL PROFESSOR CLOVIS SALGADO;AV. DAS CASTANHOLAS  ,80;4652;27
29;1252;ESCOLA MUNICIPAL MARIA DE REZENDE COSTA;AV. ABILIO MACHADO   ,1009;2174;16
29;1279;ESCOLA ESTADUAL GUIMARAES ROSA;RUA AVELAR   ,10;3071;14
29;1287;ESCOLA ESTADUAL LUCAS MONTEIRO MACHADO;RUA GUARARAPES, 1800;2804;12
29;1295;ESCOLA ESTADUAL LAICE AGUIAR;RUA MARIA DA SILVEIRA   ,44;3130;19
29;1309;ESCOLA ESTADUAL PADRE MATIAS;RUA CELIA COSTA, 31;3544;16
29;1317;ESCOLA ESTADUAL MARIETA BROCHADO;AV. ABILIO MACHADO   ,2085;1086;4
29;1325;ESCOLA ESTADUAL SAO SALVADOR;AV. AMINTAS JAQUES DE MORAIS  , 85;2266;9
29;1333;ESCOLA MUNICIPAL AUGUSTA MEDEIROS;RUA GENERAL CLARK   ,28;1533;7
29;1341;ESCOLA MUNICIPAL PADRE EDEIMAR MASSOTE;RUA ENEIDA, 1485;2851;16
29;1350;ESCOLA MUNICIPAL DOM JAIME BARROS CAMARA;RUA FREDERICO BRACHER JUNIOR   ,123;1630;21
29;1384;ESCOLA ESTADUAL PROFESSORA MARIA AUXILIADORA LANNA;RUA RUTILO  ,31;2085;9
29;1392;ESCOLA ESTADUAL OLIVIA PINTO DE CASTRO LEITE;RUA GUACIRA, 92;1795;10
29;1406;CENTRO EDUCACIONAL MINEIRO;AV. ABILIO MACHADO  , 4020;1929;14
29;1422;ESCOLA MUNICIPAL LUIGI  TONIOLO;RUA MAFRA, 124;2455;13
29;1430;ESCOLA MUNICIPAL DOM BOSCO;RUA BICUÍBA, 100;4501;34
30;1031;ESCOLA MUNICIPAL DE BELO HORIZONTE;AV. JOSÉ BONIFÁCIO, 189;1143;8
30;1074;SENAI- SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL  MG;AVENIDA PRESIDENTE ANTÔNIO CARLOS, 561;1426;6
30;1104;CENTRO DE ATIVIDADES DO SESC/ MG;RUA SANTA QUITÉRIA, 566;696;9
30;1112;PROVÍNCIA SANTA CLARA COLÉGIO FRANCISCANO SAGRADA FAMÍLIA;AVENIDA PRESIDENTE CARLOS LUZ, 535;3970;42
30;1120;COLEGUIUM UNIDADE CARLOS PRATES;RUA SABINÓPOLIS, 50;2534;36
30;1139;COLÉGIO PEDRO II;RUA AREADO, 437;779;6
30;1155;ESCOLA ESTADUAL LÚCIO DOS SANTOS;RUA PADRE EUSTÁQUIO, 16;2979;23
30;1163;ESCOLA ESTADUAL MELO VIANA;RUA BOM SUCESSO, 345;922;8
30;1171;ESCOLA MUNICIPAL MONSENHOR ARTUR DE OLIVEIRA;RUA FORNACIARI, 157;1345;16
30;1198;SESC-CDCCP - SERVICO SOCIAL DO COMERCIO;RUA TEÓFILO OTONI, 433;1017;13
30;1201;INSTITUTO CULTURAL NEWTON PAIVA FERREIRA LTDA, Nº 220;AVENIDA PRESIDENTE CARLOS LUZ, 220;4087;30
