NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
316;1031;ESCOLA ESTADUAL DR. RENATO AZEREDO;RUA CONTAGEM, 579;2438;9
316;1040;ESCOLA MUNICIPAL ANTONIO HONORIO DA SILVA;ESTRADA SERRA NEGRA;166;0
316;1066;ESCOLA MUNICIPAL ISAURA COELHO;RUA DOM AFONSO HENRIQUE, 280;3416;11
316;1074;ESCOLA MUNICIPAL MARIA CRISTINA;RUA VILA RICA, 466;2839;17
316;1104;ESCOLA MUNICIPAL SEBASTIANA DINIZ DE MATOS CARDOSO;RUA ANTONIO JOSE DINIZ, 136;873;1
316;1120;ESCOLA MUNICIPAL SEBASTIAO FERREIRA DE OLIVEIRA;RUA ARTUR RABELO, 136;1582;7
316;1139;ESCOLA MUNICIPAL MARCILIO MELO REZENDE;CAMINHO DE SANTA QUITERIA, AVENIDA VARZEA DAS FLORES, 850;357;2
316;1147;ESCOLA MUNICIPAL WALDEMAR DLUZ GONCALVES;RUA PASSA TEMPO, 886;2688;9
316;1171;ESCOLA ESTADUAL CANDIDO PORTINARI;AVENIDA TAPAJOS, 4590;2242;7
316;1180;ESCOLA ESTADUAL CECILIA MEIRELLES;RUA CARAJAS, 44;2672;10
316;1201;ESCOLA MUNICIPAL TITO FLAVIUS LIMA DE ANDRADE;RUA AÇUCENA, 444;2919;10
316;1210;ESCOLA MUNICIPAL MARIA DE LOURDES OLIVEIRA;AVENIDA RIO NEGRO, 1213;966;3
316;1228;ESCOLA ESTADUAL DO BAIRRO SAO CAETANO;AVENIDA SAO CAETANO, 300;3271;7
316;1236;ESCOLA MUNICIPAL ISRAEL JOSE CARLOS;AVENIDA NOVA YORK, 341;2715;8
316;1252;ESCOLA MUNICIPAL MARIA DA CONCEICAO BRITO;RUA VISCONDE ITABORAÍ, 101;1111;1
316;1260;ESCOLA ESTADUAL PROFESSOR OSVALDO RESENDE FRANCO;PRAÇA BOM PASTOR, 300;2758;4
316;1287;ESCOLA MUNICIPAL OLIMPIA MARIA DA GLORIA;RUA CAMELIA, 1080;3821;5
316;1295;ESCOLA MUNICIPAL ARTHUR TRINDADE;RUA PARANA, 69;1796;3
316;1309;ESCOLA ESTADUAL JOAO GUIMARAES ROSA;AVENIDA SYCABA, 1200;3519;4
316;1325;ESCOLA MUNICIPAL DO BAIRRO SAO CRISTOVAO;RUA LIMA DUARTE, 201;1203;6
316;1333;ESCOLA MUNICIPAL OSORIO ALEIXO DA SILVA;RUA A, 505;2372;11
316;1341;ESCOLA MUNICIPAL ABILIO GOMES DA COSTA;RUA JOSE QUIRINO COSTA, 120;2649;1
316;1350;ESCOLA MUNICIPAL JOSE MIRANDA SOBRINHO;RUA VERA CRUZ, 310;3102;15
316;1368;ESCOLA MUNICIPAL FAUSTO FIGUEIREDO OLIVEIRA;RUA PIRACICABA, 45;3547;10
316;1406;ESCOLA MUNICIPAL EDMEIA DUARTE DE OLIVEIRA BRAGA;RUA RECIFE, 374;3812;19
316;1414;ESCOLA MUNICIPAL MARIA DA PENHA DOS SANTOS ALMEIDA;AVENIDA BELO HORIZONTE ,100;3419;4
316;1430;ESCOLA ESTADUAL CARLOS DRUMOND DE ANDRADE;RUA PATROCINIO, 630;2705;8
316;1457;ESCOLA MUNICIPAL MARIA ELENA DA CUNHA BRAZ;RUA EIRUSSU, 75;1362;2
316;1465;ESCOLA MUNICIPAL FLORESTAN FERNANDES;RUA CHUVA DE OURO, 90;2875;11
316;1481;ESCOLA MUNICIPAL MARIA ARACELIA ALVES;RUA SANTOS DUMONT, 186;2435;7
316;1490;ESCOLA MUNICIPAL GEFERSON VENTURA DE SOUZA;RUA BAHIA, 174;319;1
316;1503;ESCOLA ESTADUAL ESTUDANTE LIVIA MARA DE CASTRO;RUA SIMONESIA, 255;1921;0
316;1511;ESCOLA MUNICIPAL RITA MARIA DA SILVA - TIA RITINHA;RUA QUATORZE, 04;1935;4
316;1520;ESCOLA MUNICIPAL PREFEITO ALCIDES BRAZ;RUA GOVERNADOR VALADARES, 402;617;0
316;1538;ESCOLA MUNICIPAL MARIA JOSE CAMPOS;RUA MARACA, 600;2003;6
316;1546;ESCOLA MUNICIPAL ANA CANDIDA DE JESUS;RUA PEDRO RODRIGUES LARANJEIRAS, 105;2167;8
316;1554;ESCOLA MUNICIPAL BARAO DO RIO BRANCO;ESMERALDAS, S/N;1745;3
316;1562;ESCOLA MUNICIPAL LUCIA FARAGE FREITAS GUMIERO;RUA SAO JOSE DOS CAMPOS, 90;3589;12
316;1570;ESCOLA ESTADUAL DEPUTADO SIMAO DA CUNHA;RUA DIAMANTINA, 230;3701;6
316;1589;ESCOLA MUNICIPAL MARIO MARCOS CORDEIRO TUPYNAMBA;AVENIDA HIBISCO, 125;3006;5
316;1597;ESCOLA MUNICIPAL ANTONIO TEREZA DOS SANTOS;RUA MINAS GERAIS, 170;2623;12
316;1600;ESCOLA MUNICIPAL JORGE AFONSO DEFENSOR;RUA MONTES CLAROS, 351;2279;1
316;1619;ESCOLA ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA;RUA CICERO RABELO VASCONCELOS, 410;2803;15
316;1627;ESCOLA ESTADUAL SARAH KUBITSCHEK;RUA ANTONIO PIO CARDOSO, 375;2760;14
316;1635;ESCOLA MUNICIPAL ALAIR FERREIRA DE SOUZA;RUA  PRINCIPAL, 419;225;0
316;1643;CRECHE JOSE ALVES PINTO;RUA PAULO MARCSON RESENDE 156;825;8
316;1651;ESCOLA MUNICIPAL JOSEFINA MACEDO GONTIJO;RUA ALCIDES INACIO DA SILVA, 220;3168;33
316;1660;ESCOLA MUNICIPAL GILBERTO ALVES DA SILVA;AVENIDA DAS ORQUIDEAS, 263;626;2
316;1678;ESCOLA MUNICIPAL JOAO BATISTA MACHADO DE BRITO;RUA SANTANA DO CAPIVARI, 280;223;2
316;1686;ANEXO DO TEMPLO DA IGREJA DE DEUS PENTECOSTAL DO BRASIL;RUA DOUTOR MAURICIO SALIBA, 47;139;0
316;1694;CRECHE EMÍLIO MAFIA GOMES;RUA PATROCÍNIO, 312;167;4
316;1708;CRECHE SILVANA RODRIGUES PEDROSA;RUA DAS BROMÉLIAS, 400;56;0
316;1716;COLÉGIO SANTIAGO;RUA RIO GRANDE DO SUL, 863;186;1
316;1724;ESCOLA ESTADUAL VINICIUS DE MORAES;RUA CAMÉLIA, 1070;123;4
316;1732;ESCOLA ESTADUAL NASCIMENTO NUNES LEAL;RUA DAS MERCÊS, 77;154;1
316;1740;ESCOLA MUNICIPAL DESEMBARGADOR SOUZA LIMA;RODOVIA MG-050, KM 07;106;1
319;1015;ESCOLA MUNICIPAL ADELINA MESQUITA JANUZZI;RUA PORTO SEGURO - 71;2203;8
319;1023;ESCOLA MUNICIPAL ALICE PINHEIRO DE ARAÚJO;RUA ALICE GOMES TEIXEIRA - 225;1120;2
319;1031;ESCOLA MUNICIPAL ARISTIDES JOSÉ DA SILVA;RUA CAMBUCI - 29;2887;10
319;1040;ESCOLA ESTADUAL DO BAIRRO AMAZONAS;RUA DOUTOR ORESTES DINIZ - 43;3646;16
319;1058;E. M. BENTO MACHADO RIBEIRO;RUA ARATICUM - 100;1292;2
319;1066;E. M. BELIZÁRIO FERREIRA CAMINHAS;AVENIDA CAMPO FLORIDO - 888;1622;3
319;1074;E. M. CARMELITA CATARINA DA MATA;ALAMEDA DAS AROEIRAS - 111;239;1
