NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
87;1074;CÂMARA MUNICIPAL DE CONSELHEIRO LAFAIETE;RUA ASSIS ANDRADE 540;705;5
87;1090;CLUBE CARIJÓS - PRACA DE ESPORTE;AV. PREFEITO DR. MÁRIO RODRIGUES PEREIRA;330;3
87;1104;CLUBE CARIJÓS - SEDE SOCIAL;AV. PREF. DR. MÁRIO RODRIGUES PEREIRA 12;514;1
87;1120;CLUBE RECREATIVO DOM PEDRO II - SEDE;RUA MARECHAL FLORIANO PEIXOTO 29;505;3
87;1139;ESCOLA MUNICIPAL NAPOLEÃO REIS;RUA SÃO JOSÉ 418;1859;23
87;1147;ESCOLA ESTADUAL DOMINGOS BEBIANO;AV. PREF. DR. MÁRIO RODRIGUES PEREIRA  248;2702;44
87;1163;ESCOLA ESTADUAL MONSENHOR HORTA;RUA PERNAMBUCO 502;3622;38
87;1171;ESCOLA ESTADUAL NARCISO DE QUEIRÓZ;RUA BARAO DE SUASSUÍ 231;1999;25
87;1180;ESCOLA ESTADUAL PACÍFICO VIEIRA;RUA HONORINA BAETA 40;2484;25
87;1198;SECRETARIA MUNICIPAL DE EDUCAÇÃO E ESPORTE;PRACA BARAO DE QUELUZ 11;1064;12
87;1201;INSTITUTO NACIONAL DE SEGURIDADE SOCIAL - INSS;AV. PREFEITO TELÉSFORO CÂNDIDO DE REZENDE 72;967;7
87;1252;SALÃO PAROQUIAL DA MATRIZ DE NOSSA SENHORA DA CONCEIÇÃO;PRAÇA BARÃO DE QUELUZ, 27;236;4
87;1295;ESCOLA ESTADUAL DOUTOR ANTERO CHAVES;AMARO RIBEIRO;753;3
87;1309;ESCOLA ESTADUAL ISAURA FERREIRA;RUA CONGONHAS 325 SANTA CRUZ;1746;10
87;1317;ESCOLA MUNICIPAL PROFESSOR LUIZ CARLOS GOMES BEATO;RUA DIAS DE SOUZA 353 LOURDES;1115;17
87;1325;CENTRO COMUNITÁRIO DO BAIRRO CACHOEIRA;RUA JOSÉ MARTINS SIMÕES, 85;721;2
87;1333;ESCOLA ESTADUAL GENERAL SYLVIO RAULINO DE OLIVEIRA;RUA CASEMIRO ADRIANO SILVA, 383;2312;33
87;1341;CENTRO EDUCACIONAL PROFESSOR OLAVO MENDES BRANDÃO;RUA BERNARDO GUIMARAES 76;835;13
87;1350;ESCOLA ESTADUAL LOPES FRANCO;RUA SANTA TEREZINHA 106;972;9
87;1376;ESCOLA ESTADUAL GERALDO BITTENCOURT;RUA NOSSA SENHORA DA PAZ, 460;3045;17
87;1384;ESCOLA ESTADUAL CESEC PROFESSOR JOSÉ MARTINS SOBRINHO;TRAVESSA OLAVO ALBUQUERQUE BRANDÃO, 50;1157;14
87;1406;ESCOLA ESTADUAL MONSENHOR ANTÔNIO JOSÉ FERREIRA;RUA JOÃO MARTINS PEREIRA 80;1264;4
87;1414;ESCOLA ESTADUAL PROFESSOR ASTOR VIANNA;RUA JOEMY FARIA 214;3008;23
87;1422;ESCOLA MUNICIPAL DEPUTADO ELY FRANCO RIBEIRO;RUA FRANCISCO LOBO 1229;675;9
87;1457;CENTRO CONVIVÊNCIA ADULTO ESPECIAL MARGARIDA DA CONCEIÇÃO RODRIGUES;RUA NOSSA SENHORA DE FÁTIMA, 200;571;1
