NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
100;1015;ESCOLA ESTADUAL BOLIVAR DE FREITAS;RUA VISCONDE DE OURO PRETO, 150;2424;14
100;1023;FACULDADE DE ADMINISTRACAO DE CURVELO;RUA JOAO PESSOA , 88;1812;20
100;1031;INSTITUTO SANTO ANTONIO;RUA RAIMUNDA MARQUES   , 90;1169;9
100;1040;ESCOLA MUNICIPAL DR. VIRIATO DINIZ MASCARENHAS;PRACA CESARIO ALVIM,271;1092;15
100;1058;ESCOLA ESTADUAL M ADAUTO LUCIO CARDOSO;RUA RIACHUELO  ,553;1218;1
100;1074;ESCOLA MUNICIPAL MARIA AMALIA;RUA CAMPOS ALTOS , 155;1944;9
100;1090;ESCOLA ESTADUAL SAO VICENTE;RUA CANAA  ,  60;1262;5
100;1104;ESCOLA ESTADUAL INTERVENTOR ALCIDES LINS;PRACA CLAUDOVINO CARVALHO,  353;2428;6
100;1112;ESCOLA MUNICIPAL PEQUENO UNIVERSO - CSU;RUA CEL EURÍPEDES DE PAULA, N 121;827;2
100;1120;ESCOLA ESTADUAL SAO GERALDO;RUA FRANCISCO GABRIEL JOVITA N 12;1123;3
100;1139;ESCOLA ESPECIAL PADRE PAULO RUTTEM - APAE;RUA GUARANI, N 225;1231;2
100;1147;ESCOLA MUNICIPAL ANTONIO DINIZ COUTO;RUA NOVA AMERICA, N 90;840;0
100;1155;ESCOLA ESTADUAL MAJOR ANTONIO SALVO;RUA OLEGARIO MACIEL , N 413;2085;7
100;1163;ESCOLA ESTADUAL EURIPEDES DE PAULA;AV INTEGRAÇAO, N 2758;1443;1
100;1171;ESCOLA ESTADUAL IRMA CLARENTINA;RUA PENSILVANIA,  150;2455;5
100;1180;ESCOLA ESTADUAL IRMA RAIMUNDA MARQUES;RUA JUSTINIANO GONÇALVES AGUIAR, S/N;1392;1
100;1198;ESCOLA MUNICIPAL ANGELINA DOTTI;AV I , S/N;1060;4
100;1201;ESCOLA MUNICIPAL FILOMENA DE OLIVEIRA LEITE;RUA PARACATU, N 75 B;905;2
100;1210;ESCOLA MUNICIPAL BOAVENTURA PEREIRA LEITE;RUA DIRCEU AUGUSTO ALMEÃO, 80;2094;6
100;1228;ESCOLA ESTADUAL ANTONINA MASCARENHAS GONZAGA;PRACA CEL. JOSE JULIO MASCARENHAS, 185;391;0
100;1236;ESCOLA ESTADUAL PADRE AUGUSTO HORTA;RUA JOSÉ ALVES GUIMARÃES, N 250;1507;0
100;1244;ESCOLA MUNICIPAL ANTONIO TEIXEIRA GUIMARAES;POVOADO DE SÃO JOSÉ DAS PEDRAS, S/N;159;0
100;1252;ESCOLA MUNICIPAL LUCIO CARDOSO;RUA J, S/N;64;0
100;1260;ESCOLA ESTADUAL MODESTINO CARLOS DA FONSECA;RUA MODESTINO CARLOS FONSECA, N 476;159;0
100;1279;ESCOLA MUNICIPAL AMERICO PENA;PRACA DA IGREJA  ,S/N;218;0
100;1287;ESCOLA MUNICIPAL GETULIO DINIZ VALE;POVOADO SÃO GERALDO DO JATAÍ, S/N;154;0
100;1295;ESCOLA ESTADUAL TOMAZ GONZAGA;RUA JOSE PEREIRA DE MATOS ,  30;217;0
100;1309;ESCOLA ESTADUAL BASILIO FRANCISCO XAVIER;RUA BASÍLIO FRANCISCO XAVIER, N 11;356;0
100;1317;ESCOLA ESTADUAL JOSE PEREIRA DE MATOS;PRACA DA MATRIZ , S/ N;79;0
100;1325;ESCOLA MUNICIPAL DONA FININHA;PRACA DA ESTACAO ,S/ N;132;0
100;1333;ESCOLA MUNICIPAL GUIMARAES ROSA;POVOADO DO BANANAL, S/N;115;2
100;1350;ESCOLA MUNICIPAL VIRGULINO SARAIVA;PRACA DA IGREJA ,S/ N;80;0
100;1368;ESCOLA MUNICIPAL PRINCESA IZABEL;PRACA DA IGREJA , S/ N;150;1
100;1406;ESCOLA INFANTIL DONA JOANINHA;RUA JUCA VEO,  N 01;860;2
100;1422;ESCOLA MUNICIPAL MARIA DA COSTA BRAVO;PRACA DA IGREJA;130;0
100;1457;ASSOCIACAO COMUNITARIA DE MORADORES DO BAIRRO SANTA CRUZ;RUA RAUL SOARES    ,77;598;1
100;1465;ESCOLA MUNICIPAL CARMELITA ARRIEIRO;CARMELITA ARRIEIRO                      100;1028;1
100;1473;ESCOLA MUNICIPAL DR VIRIATO M GONZAGA - CAIC;RUA COSTA RICA  , 320;1439;5
100;1481;ESCOLA ESTADUAL SERGIO EUGENIO DA SILVA;LOCALIDADE CANABRAVA;356;3
100;1511;ESCOLA MUNICIPAL PE CELSO DE CARVALHO;AV GENTIL DE MATOS, 395;323;3
