NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
102;1066;COLÉGIO COLEGUIUM DIVINÓPOLIS - ANTIGA FACED;PRAÇA DO MERCADO MUNICIPAL, 191;2173;428
102;1082;ESCOLA ESTADUAL PADRE MATIAS LOBATO;PRAÇA BENEDITO VALADARES , S/N;2547;557
102;1104;INSTITUTO NOSSA SENHORA DO SAGRADO CORAÇÃO;AVENIDA SETE DE SETEMBRO, 1180;2651;505
102;1112;COLÉGIO SÃO JOSÉ E SÃO GERALDO;RUA SERGIPE, 271;621;95
102;1155;CENTRO PASTORAL DA IGREJA NOSSA SENHORA DA GUIA;RUA SERGIPE, 1250;448;85
102;1163;ESCOLA ESTADUAL DONA ANTÔNIA VALADARES;AV. SETE DE SETEMBRO , 669;2773;602
102;1171;ESCOLA ESTADUAL HALIM SOUKI;AV. AMAZONAS , 118;2380;556
102;1180;ESCOLA ESTADUAL HENRIQUE GALVÃO;RUA ALMIRANTE TAMANDARÉ,  415;2312;548
102;1198;CENTRO DE EDUCAÇÃO INTEGRAL;RUA SÃO PAULO, 1441;2678;588
102;1201;ESCOLA ESTADUAL  MIGUEL COUTO;RUA IPANEMA , 300;2573;581
102;1210;COLÉGIO SÃO JOSÉ E SÃO GERALDO;RUA SERGIPE, 271;1394;271
102;1228;ESCOLA ESTADUAL MARTIN CYPRIEN - POLIVALENTE;RUA AMAZONAS, 881;3232;729
102;1236;ESCOLA ESTADUAL  MONSENHOR DOMINGOS;AV. ANTÔNIO OLÍMPIO DE MORAIS , 1441;1656;350
102;1244;ESCOLA ESTADUAL PATRONATO BOM PASTOR;RUA ITUTINGA , 620;2700;536
102;1252;ESCOLA ESTADUAL JOVELINO RABELO;RUA GUARACI CARLOS DE FREITAS, 606;665;123
102;1260;ESCOLA MUNICIPAL CETEPE;RUA BAHIA, 1755;3043;564
102;1279;ESCOLA ESTADUAL ANTÔNIO BELARMINO GOMES;RUA ALBERTO COIMBRA , 131;2049;385
102;1295;SALÃO COMUNITÁRIO DOS COSTAS;COMUNIDADE DE COSTAS;98;11
102;1309;ESCOLA ESTADUAL SÃO FRANCISCO DE ASSIS;RUA ITAPECERICA, 1495;1959;435
102;1317;CENTRO COMUNITÁRIO DE QUILOMBO;COMUNIDADE RURAL DE QUILOMBO;265;46
102;1325;ESCOLA MUNICIPAL MIGUEL ANTÔNIO ESTEVES;COMUNIDADE DE DJALMA DUTRA;389;34
102;1333;ESCOLA MUNICIPAL MARIA VALINHOS RAMOS;COMUNIDADE DE AMADEU LACERDA;162;30
102;1341;CENTRO COMUNITÁRIO DE MATA DOS COQUEIROS;COMUNIDADE RURAL DA MATA DOS COQUEIROS;119;35
102;1350;UEMG - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;AV. PARANÁ, 3.001;1071;216
102;1368;ESCOLA ESTADUAL ARMANDO NOGUEIRA SOARES;RUA CARBONITA, 1240;2501;639
102;1376;ESCOLA MUNICIPAL OTÁVIO OLÍMPIO DE OLIVEIRA;ALAMEDA RIO ARAGUAIA, 501;2158;508
102;1384;ESCOLA ESTADUAL MANOEL CORREA FILHO;RUA CAPITÓLIO, 280;3308;747
102;1392;ESCOLA ESTADUAL ILÍDIO DA COSTA PEREIRA;RUA ITAMARANDIBA, 1451;2540;567
102;1406;ESCOLA ESTADUAL JOVELINO RABELO;RUA GUARACI CARLOS DE FREITAS, 606;785;136
102;1414;ESCOLA MUNICIPAL EMÍLIO RIBAS;COMUNIDADE DO CHORO;340;46
102;1422;ASSOCIAÇÃO DE MORADORES DE BRANQUINHOS;COMUNIDADE RURAL DE BRANQUINHOS;205;38
102;1430;CAIC - ESCOLA MUNICIPAL PADRE JOÃO BRUNO;AVENIDA DAS GARÇAS, 311;1978;300
102;1449;ESCOLA MUNICIPAL PROFESSORA  HERMÍNIA  CORGOZINHO;RUA VIRIATO CORRÊA , 2400;2436;578
102;1457;ESCOLA ESTADUAL VICENTE MATEUS;RUA ALCOBAÇA , 71;1644;314
102;1473;ESCOLA MUNICIPAL DONA MARIA ROSA;RUA RUBENS MARIANO PACHECO, 61;655;135
102;1481;CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL;RUA GOIABEIRA, 761;537;113
102;1490;ESCOLA MUNICIPAL PADRE GUARITÁ;RUA TENENTE MÁRCIO, 210;1208;277
102;1503;COLÉGIO ROBERTO CARNEIRO;RUA MINAS GERAIS, 593;2630;527
102;1511;ESCOLA MUNICIPAL VENEZA GUIMARÃES;ESTRADA DA CACHOEIRINHA, 121;871;187
102;1520;UEMG - UNIVERSIDADE DO ESTADO DE MINAS GERAIS;AVENIDA PARANÁ, 3.001;2019;507
102;1538;ESCOLA MUNICIPAL ODILON SANTIAGO;RUA MÁRIO FRANCISCO GONÇALVES, 1.101;1423;331
102;1554;CENTRO PASTORAL DA IGREJA NOSSA SENHORA DA GUIA;RUA SERGIPE, 1250;300;58
103;1031;ESCOLA ESTADUAL JOAQUIM NABUCO;AV 1 DE JUNHO, 570;2017;478
103;1040;INSS;AV GETÚLIO VARGAS, 342;441;86
103;1074;ESCOLA ESTADUAL ANTÔNIO OLÍMPIO DE MORAIS;RUA HENRIQUE GALVÃO , 274;2030;332
103;1082;ESCOLA ESTADUAL PROFESSOR CHICO DIAS;RUA JOAQUIM JOSÉ FERREIRA, 71;1656;347
103;1090;ESCOLA ESTADUAL SÃO VICENTE;RUA DO ALUMÍNIO, 505;2678;465
103;1104;ESCOLA ESTADUAL SANTO TOMAZ DE AQUINO;RUA GONÇALVES DIAS , 670;2768;653
103;1112;ESCOLA ESTADUAL  LAURO EPIFÂNIO;AV. DOLORES A RABELO, 651;2388;531
103;1120;ESCOLA ESTADUAL  LUIZ DE MELO VIANA SOBRINHO;RUA CAMPOS SALES, 270;1484;308
103;1139;ESCOLA ESTADUAL ENG. PEDRO MAGALHÃES;RUA ENGENHEIRO BENJAMIM DE OLIVEIRA, S/N;2169;480
103;1147;CENTRO DE PASTORAL IMACULADA CONCEIÇÃO;RUA VITAL BRASIL, 307;598;129
103;1155;ESCOLA ESTADUAL  ANTÔNIO GONÇALVES DE MATOS;AV BRIGADEIRO CABRAL , 57;3006;671
103;1163;ESCOLA ESTADUAL ANTÔNIO DA COSTA PEREIRA;RUA CHILE, 441;2428;518
103;1171;ESCOLA ESTADUAL SÃO FRANCISCO DE PAULA;AV.BELA VISTA, 922;2167;350
103;1180;ESCOLA MUNICIPAL BENJAMIM CONSTANT;COMUNIDADE RURAL;546;213
103;1198;ESCOLA MUNICIPAL  ANTÔNIO PIO DA SILVA;COMUNIDADE RURAL;223;42
103;1201;ESCOLA ESTADUAL NOSSA SENHORA DO SAGRADO CORAÇÃO;AV BEIRA ALTA, 100;1259;198
103;1210;ESCOLA ESTADUAL  HELENA ANTIPOFF;RUA DO COBRE , 697;971;209
103;1228;CENTRO PASTORAL DA PARÓQUIA DO SR.BOM JESUS;RUA DO CHUMBO, 304;963;193
103;1236;CENTRO SOCIAL URBANO;RUA DOLORES DE AGUIAR RABELO, 303;1490;305
103;1244;ESCOLA MUNICIPAL JOÃO EPIPHÂNIO PEREIRA;RUA GONÇALVES DIAS, 414;513;120
103;1260;ESCOLA ESTADUAL ROSA VAZ DE ARAÚJO;RUA LEÃO XIII,140;967;154
103;1279;CMEI ISAURO SILVA;AVENIDA ANTÔNIO NETO, 1820;1233;266
103;1287;ESCOLA MUNICIPAL MARIA FONSECA PEÇANHA;RUA OLÍMPIO MOREIRA, 1861;1826;422
103;1295;ESCOLA MUNICIPAL PROFESSOR PAULO FREIRE;RUA ALZIRA FONSECA , 771;2186;491
103;1309;ESCOLA MUNICIPAL ADOLFO MACHADO;RUA NITERÓI, 550;1681;387
103;1317;ESCOLA MUNICIPAL SIDNEY JOSÉ DE OLIVEIRA;AVENIDA ANHANGUERA, 1090;761;118
103;1325;ESCOLA MUNICIPAL JOÃO GONTIJO DA FONSECA;RUA DAS HORTÊNSIAS, 150;592;95
103;1333;ESCOLA MUNICIPAL JOÃO SEVERINO DE AZEVEDO;RUA JOAQUIM MANOEL PEREIRA, 920;1520;292
103;1341;ESCOLA MUNICIPAL PROFESSOR BAHIA;RUA SANTARÉM, 571;1019;232
103;1350;ESCOLA MUNICIPAL DOUTOR SEBASTIÃO GOMES;RUA BAYSSUR, 561;1052;264
