NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
157;1031;CRECHE NOSSA SENHORA DE BELEM;RUA COMANDANTE VITOR, 503;1066;1
157;1139;CLUBE DOS SARGENTOS DA AERONAUTICA;AV. BRIGADEIRO EDUARDO GOMES, S/N;1331;4
157;1163;ESCOLA MUNICIPAL ALBERTO SANTOS DUMONT;ALAMEDA DOS PEQUIZEIROS, 400;488;0
157;1198;ESCOLA ESTADUAL CECILIA DOLABELA PORTELA AZEREDO;RUA CONDE ALFREDO DOLABELA, 1743;1923;7
157;1201;ESCOLA MUNICIPAL CORONEL PEDRO VIEIRA DE FREITAS;AV. VIEIRA, 235;1228;5
157;1210;ESCOLA MUNICIPAL DONA MARUCAS;RUA PETROPOLIS, 41;1324;3
157;1228;ESCOLA MUNICIPAL DR. LUND;RUA VEREADOR ILDEU VIANA DE MATOS, 100;2140;18
157;1244;ESCOLA MUNICIPAL DE LAPINHA;RUA GUILHERMINA PEREIRA DE FREITAS, 395;814;1
157;1252;CTCA;AVENIDA BELMIRO JOÃO SALOMÃO, S/N;310;0
157;1260;ESCOLA ESTADUAL NILO MAURICIO TRINDADE FIGUEIREDO;AV. DR. ANTONIO DE ABREU JUNIOR, 381;1367;10
157;1279;ESCOLA MUNICIPAL PROFESSOR MELLO TEIXEIRA;AV. SENADOR MODESTINO GONCALVES, 90;1231;4
157;1287;ESCOLA ESTADUAL REPARATA DIAS DE OLIVEIRA;RUA ELVIRA PEREIRA DA SILVA ,70;1631;2
157;1317;ESCOLA ESTADUAL TIRADENTES;RUA TIRADENTES, 21;1020;5
157;1333;ESCOLA MUNICIPAL ANTONIO DE CASTRO FIGUEIREDO;R OURO PRETO, 294;1141;10
157;1341;ESCOLA MUNICIPAL HERCULANO LIBERATO DE ALMEIDA;R TENENTE LUIZ DORNELES, 170;962;3
157;1350;ESCOLA MUNICIPAL LIVIO MUCIO CONRADO SILVA;RUA ANA GONÇALVES, 814;1147;7
157;1368;INSTITUTO PEDAGÓGICO PINTANDO O SETE;RUA EXPEDICIONÁRIOS, 822;757;6
157;1384;ESCOLA MUNICIPAL ODETE VALADARES;RUA EDGAR DE ALCÂNTARA, 88;331;1
157;1392;ESCOLA PALOMAR PIAGETIANA;AV. CORONEL CARLOS ORLEANS GUIMARAES, 501;2341;10
157;1457;PREFEITURA  MUNICIPAL DE LAGOA SANTA;RUA SAO JOAO, 290;468;1
157;1520;ESCOLA MUNICIPAL DONA NANA;RUA QUINTINO BOCAIUVA, 425;1143;2
157;1619;ESCOLA MUNICIPAL DONA ARAMITA;RUA ALAGOINHAS, S/N;1056;3
157;1627;ESCOLA MUNICIPAL NILZA VIEIRA DE AZEREDO MELO;RUA PORCINA FIGUEIREDO, 63;350;0
157;1635;ESCOLA MUNICIPAL DONA MARIA AUGUSTA;PRACA EFIGENIA DE FREITAS, 1420;301;5
157;1643;ESCOLA MUNICIPAL PROFESSORA CLAUDOMIRA;RUA EXPEDICIONÁRIOS, 990;2501;7
157;1651;ESCOLA MUNICIPAL DONA SANTINHA;RUA ALFREDO DE ABREU, 201;370;2
157;1660;ESCOLA MUNICIPAL PROFESSORA MERCIA MARGARIDA LACERDA MACHADO;RUA TOM JOBIM, 305;975;2
157;1708;CRECHE MENINO JESUS;RUA ELVIRA PEREIRA DA SILVA, 180;956;2
157;1724;CENTRO DE EDUCAÇÃO INFANTIL MARIA DOS ANJOS;RUA OLEGÁRIO MACIEL, 800;620;3
157;1732;CAPELA SÃO JOSE;RUA AEROPORTO, S/N;633;1
157;1740;LIONS CLUBE DE LAGOA SANTA;RUA TABELIÃO JOSÉ CAMILO, 35;415;0
157;1759;COLEGUIUM LAGOA SANTA;RUA SANTOS BOSCHI, 209;371;4
