NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
171;1040;CASA DA CULTURA;RUA FREI DURAO, 84;749;14
171;1058;INSTITUTO DE CIÊNCIAS SOCIAIS APLICADAS - UFOP;RUA DO CATETE, 166;2113;14
171;1074;ESCOLA ESTADUAL DOM SILVERIO;AV MANOEL LEANDRO CORREA S/N    ;1734;15
171;1082;ESCOLA ESTADUAL PROF SOARES FERREIRA;PRACA JUSCELINO KUBSTCHECK, 52;1208;9
171;1147;ESCOLA ESTADUAL DOM BENEVIDES;PRAÇA DOM BENEVIDE 23;1842;7
171;1155;ESCOLA MUNICIPAL MONSENHOR JOSE COTTA;RUA DIAMANTINA, 281;1711;3
171;1171;ESCOLA ESTADUAL C. MAURO DE FARIA BANDEIRANTES;RUA DA GLORIA, S/N;427;0
171;1180;ESCOLA MUNICIPAL ANÍBAL DE FREITAS;RUA FIRMINO ULHÔA, S/N;1137;4
171;1198;ESCOLA MUNICIPAL DE BARROCA;RUA SALOMÃO NEME, 361;277;0
171;1201;BENTO RODRIGUES (E.M. PARACATU DE BAIXO);AV. MANOEL LEANDRO CORREA, 102;232;1
171;1236;ESCOLA MUNICIPAL ANTONIO GABRIEL DE CARVALHO CLÁUDIO MANOEL;RUA PROFESSOR DRUMOND ,02;328;0
171;1244;E. M.  PROFESSORA CELINA CÉLIA GOMES;PRAÇA CARLOS LOBO, S/N;451;5
171;1252;ESCOLA MUNICIPAL DE CAMPINAS;RUA SANTA CRUZ, S/N;107;0
171;1260;ESCOLA ESTADUAL MONSENHOR MORAES FURQUIM;PRACA MAGALHAES PINTO  , 08;693;1
171;1279;POSTO DE SAÚDE;RUA SAGRADO CORAÇÃO DE JESUS, S/N;87;2
171;1287;E. M. JOAQUIM EMÍLIO BAPTISTA;RUA CUIABÁ, S/N;213;2
171;1295;POSTO DE SAÚDE DE PEDRAS;RUA ANTÔNIO, S/N;75;0
171;1309;ESCOLA MUNICIPAL JADIR MACEDO MONSENHOR HORTA;RUA SANTO ANTÔNIO, S/N;778;1
171;1317;PARACATU DE BAIXO (INSTALAÇÕES PROVISÓRIAS);AV. MANOEL LEANDRO CORREA, 102;191;0
171;1325;SALÃO COMUNITÁRIO DE PONTE DO GAMA;PONTE DO GAMA;40;3
171;1333;ESCOLA ESTADUAL PADRE VIEGAS;RUA PEDRO MARINHO GOMES, 67A;457;6
171;1341;SALÃO COMUNITÁRIO DE BARRO BRANCO;RUA NOSSA SENHORA DA GLÓRIA, S/N;311;0
171;1350;ESCOLA MUNICIPAL DE MAINART;PRAÇA SÃO GUILHERME, S/N;197;0
171;1368;ESCOLA MUNICIPAL SERRA DO CARMO (POMBAL);POVOADO DO POMBAL / VARGEM;274;2
171;1376;ESCOLA ESTADUAL CEL BENJAMIM GUIMARAES PASSAGEM;ALAMEDA BENJAMIM GUIMARAES S/N;1861;13
171;1384;ESCOLA MUNICIPAL SINHO MACHADO SANTA RITA DURÃO;PRACA MATRIZ;739;0
171;1406;POSTO DE SAÚDE DE CUIABA;RUA PRINCIPAL, S/N;123;0
171;1414;GRUPO ESCOLAR DR. GOMES FREIRE;AV. GETULIO VARGAS  , 54                ;1639;10
171;1422;CENTRO DE EDUCACAO MUNICIPAL PADRE AVELAR - CEMPA;RODOVIA DO CONTORNO, 327;3114;19
171;1449;ESCOLA MUNICIPAL WILSON PIMENTA FERREIRA;RUA L,  S/N;712;0
171;1457;ESCOLA ESTADUAL SANTA GODOY;RUA WENCESLAU BRAS, S/N;1216;8
171;1481;ESCOLA MUNICIPAL CÔNEGO PAULO DILÁSCIO;RUA OURO, 200;184;0
171;1490;ESCOLA MUNICIPAL DOM OSCAR DE OLIVEIRA;RUA PASSAGEM DE MARIANA, 360;1858;13
171;1503;CENTRO DE CONVENÇÕES DO MUNICÍPIO DE MARIANA;AV. GETÚLIO VARGAS, S/N;23;0
171;1538;ESCOLA MUNICIPAL DOM LUCIANO PEDRO MENDES DE ALMEIDA ROSARIO;RUA PERIMETRAL SUCUPIRA,  S/N;763;6
171;1554;CASA SÃO VICENTE DE PARACATU DE CIMA;MARIANA;42;4
171;1570;CARTÓRIO DE REGISTRO CIVIL DE CAMARGOS;RUA DO CRUZEIRO, 408;52;0
171;1589;UNIPAC - FACULDADE PRESIDENTE ANTÔNIO CARLOS;RUA ANTÔNIO ALVES, 78;256;3
171;1597;SENAI - MARIANA;RODOVIA DO CONTORNO, S/N.;720;11
171;1619;E.E. JOÃO RAMOS FILHO;RUA DIAMANTINA, 751;443;5
171;1627;ASSOCIAÇÃO DOS MORADORES DO BAIRRO SÃO JOSÉ;RUA SALOMÃO DE VASCONCELOS, N 07;113;1
171;1635;CENTRO DE ESPECIALIDADES PREVINE;RUA WENCESLAU BRAZ, N 461;806;6
