NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
202;1015;ESCOLA ESTADUAL GOVERNADOR VALADARES;PRACA DELFIM MOREIRA 70;1133;3
202;1040;COLÉGIO SAGRADO CORAÇÃO DE MARIA;RUA DR HIGINO, 3;1162;12
202;1058;ESCOLA ESTADUAL TORQUATO DE ALMEIDA;PRAÇA FRANCISCO TORQUATO, 22;1443;11
202;1082;ESCOLA ESTADUAL FERNANDO OTÁVIO;PRACA FREI CONCÓRDIO, 750;4661;114
202;1090;ESCOLA ESTADUAL FREI CONCÓRDIO;RUA PORCIÚNCULA, 65;1581;18
202;1104;ESCOLA ESTADUAL PEREIRA DA COSTA;RUA ANTÔNIO PRAXEDES, 390;1575;24
202;1112;COLÉGIO TÉCNICO SÃO FRANCISCO DE ASSIS;RUA CAPITÃO TEIXEIRA, S/N;1862;21
202;1139;ESCOLA ESTADUAL MANOEL BATISTA;RUA RIO DE JANEIRO, 364;2617;54
202;1147;COLÉGIO TÉCNICO SÃO FRANCISCO DE ASSIS;RUA CAPITÃO TEIXEIRA, S/N;546;3
202;1155;ESCOLA MUNICIPAL CÓRREGO DO BARRO;CÓRREGO DO BARRO;125;2
202;1163;ESCOLA ESTADUAL DE TAVARES;PRAÇA NOSSA SENHORA DA CONCEIÇÃO, SN;761;10
202;1171;ESCOLA ESTADUAL DE CARIOCA;R. SAO FRANCISCO, 34;313;3
202;1180;ESCOLA ESTADUAL JOAQUIM LUIZ GONZAGA;AV. A. S. ARAÚJO, 100;502;0
202;1198;ESCOLA ESTADUAL ZICO FERREIRA;R. T. J. FONSECA, S/N;773;10
202;1201;ESCOLA ESTADUAL ADEMAR DE MELO;R. VEREADOR JOSÉ DE ALMEIDA MENDONÇA, 80;2817;14
202;1210;ESCOLA ESTADUAL JOÃO FERREIRA;RUA FREI ORLANDO, 602;1900;39
202;1228;ESCOLA ESTADUAL NOSSA SENHORA AUXILIADORA;RUA ANTONIO CARLOS, 545;2458;44
202;1236;ESCOLA ESTADUAL ÂNGELA MARIA;RUA JOÃO MENDES DE CARVALHO, 373;2791;29
202;1244;CRECHE CMEI/PADRE HERNANI;RUA ALTINO CORREA VIANA, 70;2179;29
202;1252;ESCOLA ESTADUAL PREFEITO JOSÉ PORFÍRIO DE OLIVEIRA;RUA JOSÉ ANTÔNIO PEREIRA, 215;596;8
202;1260;ESCOLA ESTADUAL CLÓVIS SALGADO;RUA POUSO ALEGRE, S/N;1603;21
202;1279;ESCOLA MUNICIPAL D. OROSINA CECÍLIO MENDONÇA;AV. PADRE JOSÉ VIEGAS, 80;2379;21
202;1287;ESCOLA MUNICIPAL BERNARDO MONTEIRO;TRINDADE;121;0
202;1295;ESCOLA MUNICIPAL PADRE PEREIRA;CAETANO PRETO;105;0
202;1309;ESCOLA MUNICIPAL DE BOM SUCESSO;POVOADO DE BOM SUCESSO;71;0
202;1317;ESCOLA  MUNICIPAL MARECHAL DEODORO;POVOADO  DE MEIRELES;192;0
202;1325;ESCOLA MUNICIPAL DE MATINHA;POVOADO DA MATINHA;262;2
202;1333;ESCOLA MUNICIPAL PROF. AMÉLIA GUIMARÃES - CAIC;AVENIDA PADRE JOSÉ VIEGAS, 1203;1053;14
202;1341;ESCOLA MUNICIPAL  VEREADOR BOSCO MENDONÇA;BOM JESUS DO PARÁ;307;1
202;1350;ESCOLA MUNICIPAL JOSÉ JACINTO DOS SANTOS;POVOADO DE APARIÇÃO;90;0
202;1368;ESCOLA MUNICIPAL DONA COTINHA;RUA IVO RESENDE MENDONCA, 150;1841;10
202;1376;CRECHE - LAR SANTA TEREZINHA - ASSOCIAÇÃO DAS DAMAS DE CARIDADE;PRAÇA GALBA VELOSO, 137;308;2
202;1384;ASCIPAM - ASSOCIACAO COMERCIAL E INDUSTRIAL DE PARA DE MINAS;RUA FRANCISCO SALES, 148;335;3
202;1392;ESCOLA ESTADUAL PROFESSOR WILSON MELO GUIMARÃES;RUA PADRE LIBÉRIO, 1005;1055;12
202;1406;ESCOLA MUNICIPAL IZALTINA MENDONÇA MEIRELES;RUA ADILSON ANTÔNIO PEREIRA, 355;439;2
202;1414;ESCOLA MUNICIPAL CONCEIÇÃO MARIA MOREIRA;POVOADO DE LIMAS DO PARÁ;156;0
202;1422;ESCOLA MUNICIPAL SÃO JUDAS TADEU;RUA FRANCISCO CECÍLIO MENDONÇA,455;365;6
202;1430;ESCOLA MUNICIPAL NENÉM COUTINHO;POVOADO DE GUARDAS;47;0
