NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
328;1023;COLEGIO NOSSA SENHORA DAS DORES;RUA COMENDADOR BASTOS, 84;1938;27
328;1040;ESCOLA ESTADUAL JOAO DOS SANTOS;AV. EDUARDO MAGALHAES, S/N;971;10
328;1058;ESCOLA MUNICIPAL MARIA TERESA;PRACA DOS EXPEDICIONARIOS, S/N;859;3
328;1066;ESCOLA MUNICIPAL MARIA TERESA;PRAÇA DOS EXPEDICIONÁRIOS S/N;186;0
328;1074;UFSJ  - CAMPUS SANTO ANTONIO;PRACA FREI ORLANDO, 170;916;24
328;1082;SOCIEDADE SINFONICA;PRACA CARLOS GOMES, 75;479;1
328;1090;BANDA TEODORO DE FARIA;RUA SANTO ANTONIO, 289;269;4
328;1104;ESCOLA MUNICIPAL DR. KLEBER VASQUES  FILGUEIRAS;RUA RUTH NEDER ISSA, N 50;1318;11
328;1112;ESCOLA ESTADUAL IAGO PIMENTEL;RUA SAO JOAO, 571;2145;10
328;1120;CESEC;RUA ROSSINO BACCARINI, 196;613;4
328;1139;OBRAS SOCIAIS FE E ALEGRIA;RUA MARIO MAZZONI, 110;925;5
328;1171;CENTRO SOCIAL SAO FRANCISCO;RUA ESCRIVAO FARNESE SILVA, S/N;415;3
328;1180;ESCOLA ESTADUAL INACIO PASSOS;PRACA DR GUILHERME MILWARD, S/N;1781;16
328;1198;ESCOLA MUNICIPAL DOMINGOS HORTA;R. MARIA LEOCADIA SILVA ROSA, S/N;225;0
328;1210;ESCOLA ESTADUAL CONEGO OSWALDO LUSTOSA;RUA COMANDANTE JOSE FLORES, 13;1011;2
328;1244;ESCOLA ESTADUAL AURELIANO PIMENTEL;AV. LEITE DE CASTRO, 89;1588;9
328;1252;UFSJ - CAMPUS DOM BOSCO;PRACA DOM HELVECIO, 74;1514;22
328;1260;ESCOLA ESTADUAL DR GARCIA DE LIMA;AV. LEITE DE CASTRO, 1384;1473;15
328;1287;ANTIGO PREDIO DO UNIPTAN-FUNDOS;AV. LEITE DE CASTRO, 1101;609;5
328;1295;SALAO PAROQUIAL NOSSA SENHORA APARECIDA;RUA DO OURO, 215;364;0
328;1309;SALAO PAROQUIAL NOSSA SENHORA AUXILIADORA;RUA RICARDO GERALDO DOS SANTOS, 136;286;2
328;1325;ESCOLA ESTADUAL IDALINA HORTA GALVAO;R. NOSSA SENHORA DA SAÚDE, S/N;1266;5
328;1333;ESCOLA MUNICIPAL POLICHINELO;PÇ EDUARDO RODRIGUES VALE, S/N;555;3
328;1341;CENTRO EDUC. FREI SERÁFICO;R. GERALDO GUIMARÃES CANÁRIO, 02;756;6
328;1350;ESCOLA ESTADUAL MINISTRO GABRIEL PASSOS;RUA PADRE MACHADO, 261;1051;5
328;1368;SALAO PAROQUIAL SAO GERALDO;PRACA SAO GERALDO, 192;442;3
328;1376;UFSJ - CAMPUS CTAN;AV. VISCONDE DO RIO PRETO, S/N;174;2
328;1384;ESCOLA MUNICIPAL DE ARCÂNGELO;RUA SANTA CRUZ, 50;441;0
328;1422;CAPELA DO POVOADO DA VENDINHA;ZONA RURAL;52;0
328;1449;ESCOLA ESTADUAL PADRE LOPES;FRANCISCO DAS CHAGAS RIBEIRO - 520;918;11
328;1473;ESCOLA MUNICIPAL DE JANUÁRIO;ZONA RURAL;157;1
328;1481;ESC. MUN. JOÃO BATISTA SANTANA;ZONA RURAL;80;3
328;1490;ESCOLA MUNIC. DESATIVADA DO VALO NOVO;ZONA RURAL;59;0
328;1503;ESCOLA ESTADUAL EVANDRO AVILA;RUA DO CAMPO, SN;1010;4
328;1511;ESCOLA MUNICIPAL DE GOIABEIRAS;ZONA RURAL;192;0
328;1520;SALÃO COMUNITARIO DO CANELA;ZONA RURAL;99;0
328;1538;SALÃO PAROQUIAL DE CRUZEIRO DA BARRA;ZONA RURAL;44;4
328;1546;CENTRO DE SAUDE;PRACA CARLOS GOMES, S/N;367;1
328;1570;SALÃO COMUNITARIO DO CAQUENDE;ZONA RURAL;60;0
