NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
278;1023;ESCOLA MUNICIPAL PROFESSORA CECY CARDOSO PORFÍRIO;RUA RIO JEQUETINHONHA, 415;6394;2
278;1031;ESCOLA MUNICIPAL PROFESSOR LEÔNCIO DO CARMO CHAVES;RUA DO ENGENHEIRO, 416;4885;11
278;1040;ESCOLA ESTADUAL BOM JESUS;PRAÇA NOSSA SENHORA DO CARMO, 250;1649;2
278;1058;ESCOLA MUNICIPAL PROFESSOR LUÍS ROCHA E SILVA;AV. AFONSO ARINOS, 470;3819;9
278;1066;ESCOLA ESTADUAL DE UBERLÂNDIA;PRAÇA ADOLFO FONSECA, 141;2152;2
278;1252;ESCOLA ESTADUAL PROFESSORA JUVENÍLIA FERREIRA DOS SANTOS;RUA GENARINO CAZABONA, 934;5428;3
278;1260;ESCOLA ESTADUAL PROFESSOR LEÔNIDAS DE CASTRO SERRA;AV. JOSÉ FONSECA E SILVA, 990;4703;4
278;1481;ESCOLA ESTADUAL TEOTÔNIO VILELA;RUA  DA SECRETÁRIA ,  384;4215;5
278;1511;ESCOLA ESTADUAL AMÉRICO RENÊ GIANETTI;RUA CORONEL SEVERIANO,351;2365;5
278;1520;ESCOLA MUNICIPAL DOUTOR GLADSEN GUERRA DE REZENDE;RUA GAZA, 330;4988;5
278;1538;ESCOLA MUNICIPAL FREITAS AZEVEDO;AV. ALDO BORGES LEÃO, N 2309;2651;0
278;1546;ESCOLA MUNICIPAL DOMINGAS CAMIM;RUA DO COMERCIO S/ N;302;0
278;1554;ESCOLA ESTADUAL DO BAIRRO JARDIM DAS PALMEIRAS;RUA DAS POMBAS, 931;5739;5
278;1562;COLÉGIO RESSURREIÇÃO NOSSA SENHORA;PRAÇA CORONEL CARNEIRO, 11;2066;6
278;1570;ESCOLA MUNICIPAL PROFESSORA MARIA JOSÉ MAMEDE MOREIRA;RUA DO GARÇOM, 101;2255;4
278;1597;COLEGIO NACIONAL - UNIDADE CIDADE JARDIM;AV. UIRAPURU, 20;2047;5
278;1600;ESCOLA COLIBRI;RUA DONA INHAZINHA, 275;2355;1
278;1619;ESCOLA MUNICIPAL DE EDUC INFANT.PROFª IZILDINHA MARIA MACEDO DO AMARAL;RUA OSVALDO SAMORA, 02;1458;0
278;1643;ESCOLA ESTADUAL MÁRIO PORTO;RUA GOLÃ, 407;3282;8
278;1651;ESCOLA MUNICIPAL DE ALFABETIZAÇÃO PROFESSORA IRACY ANDRADE JUNQUEIRA;RUA MARIA ABADIA MAMEDE, 385;2868;3
278;1660;NAICA - NÚCLEO DE ATEND. INTEG. À CRIANÇA E AO ADOLESCENTE;RUA DOS SININHOS, 35;403;0
278;1678;ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL DO BAIRRO MANSOUR;RUA RIO CITARÉ, 52;1292;1
278;1686;COLÉGIO SHALOM;AVENIDA DO PINHO, 565;1534;4
278;1694;ESCOLA ESTADUAL JOSÉ GOMES JUNQUEIRA;RUA ROBERTO MARGONARI, 360;1690;3
278;1708;ESCOLA MUNICIPAL CARLOTA DE ANDRADE MARQUEZ;RUA DOS SININHOS, 205;1592;0
278;1716;ESCOLA ESTADUAL ALDA MOTA BATISTA;ALAMEDA DEOCLECIANO MARTINS, 45;2870;5
278;1724;APAE;RUA JOÃO DE BARRO, 396;2870;2
278;1732;ESCOLA MUNICIPAL INSPETORA FRANCE ABADIA MACHADO SANTANA;RUA LAURINDO FONSECA SILVA, 144;1636;2
278;1740;ESCOLA MUNICIPAL DE EDUCAÇÃO INFANTIL DO BAIRRO PLANALTO;RUA DO JARDINEIRO, 360;634;3
278;1759;ESCOLA MUNICIPAL ROSA MARIA MELO;RUA CACHORRO DO MATO, 350;1626;0
278;1767;ESCOLA ATHENAS;RUA DO ENGENHEIRO, 60;1430;10
278;1775;ESCOLA MUNICIPAL PROFESSOR VALDIR ARAUJO;RUA RIO TIBRE, 221;488;1
278;1783;ESCOLA MUNICIPAL PROFESSOR LUIZMAR ANTÔNIO DOS SANTOS;RUA AURÉLIO ANTÔNIO DE LIMA, 101;342;0
278;1791;ESCOLA MUNICIPAL PROFESSORA JOSIANY FRANÇA;RUA NAZARÉ, 519;378;2
279;1023;ESCOLA MUNICIPAL PROFESSOR EURICO SILVA;RUA ANTÔNIO ALVES DOS SANTOS, 39;4083;5
279;1058;EMEI PROFESSORA STELA MARIA DE PAIVA CARRIJO;RUA QUINTINO BOCAIÚVA, 985 - CENTRO;1123;3
279;1066;COLÉGIO GABARITO;AV. RONDON PACHECO, 2000;3643;9
279;1082;ESCOLA ESTADUAL HONÓRIO GUIMARÃES;RUA CARAJÁS, 993;1872;1
279;1090;ESCOLA MUNICIPAL PROFESSORA OLGA DEL FÁVERO;RUA JORDÂNIA, 157;5471;11
279;1120;ESCOLA ESTADUAL MARIA DA CONCEIÇÃO BARBOSA DE SOUSA;PRAÇA VASCO GIFONE, 13;1117;1
279;1155;ESCOLA ESTADUAL MESSIAS PEDREIRO;RUA EDUARDO DE OLIVEIRA, 980;3422;6
279;1163;ESCOLA ESTADUAL JOAQUIM SARAIVA;AVENIDA JOAO XXIII, 68;3132;2
279;1309;ESCOLA ESTADUAL PROFESSOR INÁCIO CASTILHO;RUA PROFESSOR JUCI DO CARMO GARCIA, 35;2681;4
279;1333;ESCOLA ESTADUAL DO PARQUE SÃO JORGE;RUA OSVALDO SILVÉRIO DA SILVA, 346;3709;1
279;1465;ESCOLA ESTADUAL FREI EGIDIO PARISI;AVENIDA  DOUTOR LAERTE VIEIRA GONÇALVES, 2926;4806;5
279;1546;ESCOLA MUNICIPAL SHOPPING PARK;RUA IVETE CORDEIRO DA SILVA, 450;2155;4
279;1554;ESCOLA MUNICIPAL PROFESSORA GLAUCIA SANTOS MONTEIRO;RUA JOSÉ MALAQUIAS DOS SANTOS, 790;2306;1
279;1562;ESCOLA MUNICIPAL JACY DE ASSIS;RUA ANTONIO BERNARDES COSTA N 111;3959;2
279;1570;ESCOLA MUNICIPAL PROFESSOR VALDEMAR FIRMINO DE OLIVEIRA;RUA AFONSO LOURENÇO, N 249;2630;3
279;1589;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 3Q;AVENIDA JOÃO NAVES DE ÁVILA, 2160;7446;20
279;1597;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 5O;AVENIDA JOÃO NAVES DE ÁVILA, 2160;3285;2
279;1627;COLÉGIO OBJETIVO;RUA DA CIÊNCIA, 82 - ESQUINA COM RUA BOCAÚVA;4247;7
279;1643;ESCOLA MUNICIPAL PROFESSOR MILTON DE MAGALHÃES PORTO;RUA SERVIÇO, 136;1730;4
279;1651;ESCOLA MUNICIPAL ODILON CUSTÓDIO PEREIRA;RUA CHAPADA DIAMANTINA, 355;2143;2
279;1660;ESCOLA ESTADUAL HERCÍLIA MARTINS REZENDE;RUA PROF IGNÁCIO CASTILHO, 405;2218;1
279;1678;ESCOLA MUNICIPAL SEBASTIANA SILVEIRA PINTO;RUA ANTÔNIO BERNARDES COSTA, N 161;1322;5
279;1686;INSTITUTO EDUCACIONAL SANTA MÔNICA;RUA GERALDO ROBERTO GERKEN, N 162;947;0
279;1694;DOMINÓ ESCOLA INFANTIL;ALAMEDA AGUINALDO FERREIRA PACHECO, 36;2696;3
279;1708;ESCOLA MUNICIPAL PRESIDENTE ITAMAR FRANCO;RUA JURANDIR MACEDO 185;2947;0
279;1716;ESCOLA MUNICIPAL ODELCIA LEÃO CARNEIRO;RUA SERRA PACARAÍMA 800;1917;1
279;1724;COLÉGIO OLIMPO- UNIDADE VIGILATO PEREIRA;RUA ABRÃO CALIL, 120;1054;1
279;1732;ESCOLA ESTADUAL DONA ALEXANDRA PEDREIRO;AV. NAJLA ALÍPIO ABRÃO 365;873;0
279;1740;UNIVERSIDADE FEDERAL DE UBERLÂNDIA - BLOCO 5S;AV. JOAO NAVES DE ÁVILA 2160;5420;25
