CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
41238,BELO HORIZONTE,11,Prefeito,22,BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA,130002255952,1013390,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,55,FUAD JORGE NOMAN FILHO,130001975610,1007016,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,95,VOTO BRANCO,-1,440927,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,10,MAURO HENRIQUE TRAMONTE,130002115616,192991,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,15,GABRIEL SOUSA MARQUES DE AZEVEDO,130002074700,133728,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,12,DUDA SALABERT ROSA,130002114857,97315,18,4764,439
41238,BELO HORIZONTE,13,Vereador,13,Partido dos Trabalhadores,-3,74404,18,4764,439
41238,BELO HORIZONTE,11,Prefeito,13,ROGERIO CORREIA DE MOURA BAPTISTA,130002172272,55393,18,4762,439
41238,BELO HORIZONTE,13,Vereador,22222,PHABLO GOMES ALMEIDA,130002172747,39960,18,4743,439
41238,BELO HORIZONTE,13,Vereador,11111,MARLI APARECIDA DE ARO FERREIRA,130001998164,23773,18,4540,438
41238,BELO HORIZONTE,13,Vereador,50099,IZABELLA LOURENÇA AMORIM ROMUALDO,130002222491,21485,18,4444,437
41238,BELO HORIZONTE,13,Vereador,30007,FERNANDA ELISA PEREIRA ALTOÉ,130001976032,18682,18,2756,410
41238,BELO HORIZONTE,13,Vereador,30400,MARCELA DE LACERDA TRÓPIA,130001976053,17878,18,3559,432
41238,BELO HORIZONTE,13,Vereador,13000,PEDRO FARAH ROUSSEFF,130002172490,17595,18,4320,436
41238,BELO HORIZONTE,13,Vereador,27777,FLAVIA FERREIRA BORJA PINTO,130002069855,16393,18,4361,437
41238,BELO HORIZONTE,13,Vereador,22000,WILI DOS SANTOS,130002172736,14705,18,4271,439
41238,BELO HORIZONTE,13,Vereador,22123,UNER AUGUSTO DE CARVALHO ALVARENGA,130002172718,13401,18,3539,423
41238,BELO HORIZONTE,11,Prefeito,20,CARLOS ALBERTO DIAS VIANA,130002150512,12712,18,4180,437
41238,BELO HORIZONTE,13,Vereador,10456,IRLAN CHAVES DE OLIVEIRA MELO,130002076890,11660,18,3452,432
41238,BELO HORIZONTE,13,Vereador,70200,WAGNER MARIANO JUNIOR,130002053458,11435,18,1886,386
41238,BELO HORIZONTE,13,Vereador,43500,WAGNER DE JESUS FERREIRA,130002172510,10963,18,3020,427
41238,BELO HORIZONTE,13,Vereador,13321,BRUNO ABREU GOMES,130002172508,10870,18,3942,435
41238,BELO HORIZONTE,13,Vereador,20100,LUCAS DO CARMO NAVARRO,130001997684,10753,18,4132,435
41238,BELO HORIZONTE,13,Vereador,10000,OSVALDO LOPES DE OLIVEIRA JUNIOR,130002076857,10345,18,3973,436
41238,BELO HORIZONTE,13,Vereador,15555,ELIZETE LOIDE GONÇALVES TAVARES,130002033549,10313,18,2081,406
41238,BELO HORIZONTE,13,Vereador,13113,LUIZA BORGES DULCI,130002172496,10169,18,2948,425
41238,BELO HORIZONTE,13,Vereador,30123,BRAULIO ALVES SILVA LARA,130001976023,9992,18,2578,408
41238,BELO HORIZONTE,13,Vereador,20600,JOSE DE JESUS FERREIRA,130001997687,9946,18,1656,376
