CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
41335,BETIM,11,Prefeito,44,HERON DOMINGUES GUIMARAES,130001882197,108557,2,981,107
41335,BETIM,11,Prefeito,43,VINICIUS BRAGA SARAIVA DE RESENDE,130001921685,79096,2,981,107
41335,BETIM,13,Vereador,96,VOTO NULO,-1,54929,2,981,107
41335,BETIM,11,Prefeito,33,PEDRO HENRIQUE DE MOURA SILVA,130002031971,18734,2,981,107
41335,BETIM,13,Vereador,40,Partido Socialista Brasileiro,-3,7307,2,977,107
41335,BETIM,13,Vereador,44333,ROBERTO CARLOS DA SILVA,130001885060,5047,2,724,98
41335,BETIM,13,Vereador,23456,EDSON LEONARDO MONTEIRO,130001893863,4744,2,922,106
41335,BETIM,13,Vereador,77190,JOSE GREGÓRIO DA SILVA,130001885078,4463,2,821,103
41335,BETIM,13,Vereador,22555,PAULO ALVES CIRINO,130001921677,4339,2,833,98
41335,BETIM,13,Vereador,22222,LAYON DIAS SILVA,130001921667,4267,2,906,104
41335,BETIM,13,Vereador,43043,EDUARDO LUCIO ASSIMOS BRAGA,130001921634,4117,2,813,101
41335,BETIM,13,Vereador,44123,MARCOS ANTONIO RODRIGUES,130001885055,4115,2,601,99
41335,BETIM,13,Vereador,44777,WELLINGTON FERREIRA DE SOUZA,130001885057,4055,2,533,96
41335,BETIM,13,Vereador,22123,ALEXANDRE REZENDE TRINDADE,130001921661,3845,2,816,104
41335,BETIM,13,Vereador,65653,TIAGO SANTANA CASSIANO,130001921644,3562,2,794,102
41335,BETIM,13,Vereador,22369,ANTONIO AFONSO PEREIRA,130001921675,3243,2,794,103
41335,BETIM,13,Vereador,23208,IVANILDO DA CONCEICAO TEIXEIRA,130001893876,3064,2,568,93
41335,BETIM,13,Vereador,15678,CARLOS DE OLIVEIRA SILVA,130001905747,2952,2,820,102
41335,BETIM,13,Vereador,27777,KENEDY ALESSANDRO HENRIQUE DE SOUZA,130001921730,2926,2,634,103
41335,BETIM,13,Vereador,12000,ADÉLIO CARLOS DA SILVA,130002212685,2815,2,652,97
41335,BETIM,13,Vereador,22333,SILVANO FERREIRA MARTINS,130001921672,2790,2,567,92
41335,BETIM,13,Vereador,27500,KÁTIA BRANDAO AZEVEDO COSTA,130001921727,2771,2,825,104
41335,BETIM,13,Vereador,11222,LIESLEI DE LIMA CUSTODIO,130001905595,2683,2,631,94
41335,BETIM,13,Vereador,13013,JOSÉ LUIZ RODRIGUES,130001921637,2659,2,824,100
41335,BETIM,13,Vereador,70123,KLEBER EDUARDO DE SOUSA REZENDE,130001894763,2585,2,737,100
41335,BETIM,13,Vereador,22010,CARLOS ROBERTO DE CARVALHO,130001921674,2471,2,694,97
41335,BETIM,13,Vereador,40456,CLAUDIO FERNANDES,130001905686,2450,2,718,99
41335,BETIM,13,Vereador,70070,RODNEA MOREIRA DE OLIVEIRA BAESSA,130001894766,2428,2,273,72
41335,BETIM,13,Vereador,23830,GILBERTO MENDES DE OLIVEIRA,130001893873,2397,2,638,99
41335,BETIM,13,Vereador,11444,RICARDO JUNIO LANA,130001905597,2386,2,772,98
41335,BETIM,13,Vereador,10123,ANGELA MARIA DOS SANTOS ABRAMO,130001905796,2355,2,852,105
41335,BETIM,13,Vereador,15690,ALEXANDRE FERNANDO DA PAZ,130001905764,2349,2,428,88
41335,BETIM,13,Vereador,13300,EDSON RODRIGUES GONÇALVES,130001921648,2320,2,787,101
41335,BETIM,13,Vereador,12031,MIGUEL PINHEIRO DA SILVA,130002212678,2319,2,536,93
41335,BETIM,13,Vereador,22000,GILSON SOUSA DE CARVALHO,130001921676,2245,2,691,97
41335,BETIM,13,Vereador,11888,JOSÉ ROMÃO NEVES,130001905592,2057,2,605,92
41335,BETIM,13,Vereador,10777,RONIVON MARTINS DA SILVA,130001905813,2051,2,792,102
41335,BETIM,13,Vereador,10222,VITOR BRAZ MARIANELLI,130001905814,2049,2,735,103
41335,BETIM,13,Vereador,23023,NILO MARQUES BASILIO JUNIOR,130001893861,1987,2,403,85
41335,BETIM,13,Vereador,11456,WAGNER DEVAIR ROSA,130001905599,1853,2,656,97
41335,BETIM,13,Vereador,11111,JOSÉ FLAVIO DE LIMA,130001905591,1793,2,478,90
41335,BETIM,13,Vereador,12123,JOSÉ GERALDO DE FARIAS,130002212686,1784,2,590,89
41335,BETIM,13,Vereador,23123,LUCIENE MARIA FERREIRA,130001893860,1746,2,386,82
41335,BETIM,13,Vereador,40123,LUIZ CARLOS BATISTA DOS SANTOS,130001905689,1739,2,723,102
41335,BETIM,13,Vereador,77123,WEMERSON DUQUE PIRES,130001885087,1712,2,417,82
41335,BETIM,13,Vereador,11777,CARLOS RENATO DIAS MUNIZ,130001905603,1694,2,707,99
41335,BETIM,13,Vereador,77888,CESAR DA SILVA DUTRA,130001885084,1647,2,292,80
41335,BETIM,13,Vereador,23000,ELIAS GASPAR DE ARAUJO,130001893867,1623,2,709,90
41335,BETIM,13,Vereador,15456,MAURILIO CESAR MOREIRA DA SILVA,130001905751,1567,2,669,97
41335,BETIM,13,Vereador,70333,CARLOS ROBERTO PINHEIRO DA SILVA,130001894749,1522,2,572,92
41335,BETIM,13,Vereador,15147,WILLIAM ARAUJO PIMENTA,130001905761,1488,2,208,64
41335,BETIM,13,Vereador,10125,JOSE IRANI DA CRUZ,130001905807,1463,2,475,88
41335,BETIM,13,Vereador,15888,JOSE DIVINO DOS SANTOS,130001905756,1437,2,521,88
41335,BETIM,13,Vereador,23777,FLAVIO FERREIRA DA SILVA,130001893874,1426,2,332,81
41335,BETIM,13,Vereador,70555,ALESSANDRA RIBEIRO DE MEIRELES,130001894752,1403,2,250,71
41335,BETIM,13,Vereador,27456,ROBERTO MARTINS DOS REIS,130001921733,1395,2,257,73
41335,BETIM,13,Vereador,44999,ERASMO CARLOS OLIVEIRA DA SILVA,130001885047,1342,2,446,89
41335,BETIM,13,Vereador,40620,SANDRA MOREIRA NETO DIAS,130001905688,1325,2,592,94
41335,BETIM,13,Vereador,11112,ELZILENE AMBRÓSIO DE AGUIAR FERREIRA,130001905608,1320,2,427,86
41335,BETIM,13,Vereador,15000,PAULO SERGIO DE OLIVEIRA,130001905745,1278,2,386,81
41335,BETIM,13,Vereador,11555,FABIO RODRIGUES DE ALMEIDA,130001905594,1251,2,430,86
41335,BETIM,13,Vereador,11789,ADERBAL HIPOLITO LARA GOMES,130001905604,1210,2,533,92
41335,BETIM,13,Vereador,12130,SERGIO GOMES DA SILVA,130002212690,1195,2,348,76
41335,BETIM,13,Vereador,15555,JOSE NILTON DA SILVA,130001905757,1159,2,416,83
41335,BETIM,13,Vereador,70777,SEBASTIAO MILTON PASCOAL,130001894747,1148,2,465,86
41335,BETIM,13,Vereador,10999,DIONE RAFAEL DIAS,130001905801,1130,2,312,75
41335,BETIM,13,Vereador,11122,JOZIAS GONÇALVES DO NASCIMENTO,130001905593,1108,2,370,80
41335,BETIM,13,Vereador,40222,MARCELINO ANTONIO ALEXANDRE,130001905687,1101,2,413,85
41335,BETIM,13,Vereador,40910,HELIO APARECIDO DUTRA,130001905681,1083,2,184,59
41335,BETIM,13,Vereador,15333,EUVAGNER CAMILO PEREIRA,130001905753,1025,2,420,82
41335,BETIM,13,Vereador,22122,ALINE MARTINS DE MEDEIROS FONSECA,130001921678,1024,2,320,79
41335,BETIM,13,Vereador,40140,JACONIAS MARÇAL,130001905671,1020,2,201,56
41335,BETIM,13,Vereador,10200,CLAUDIMAR MARTINS VIEIRA,130001905800,1019,2,361,71
41335,BETIM,13,Vereador,65555,ANTÔNIO CARLOS BATINGA DE MATOS ROCHA,130001921639,1007,2,545,93
41335,BETIM,13,Vereador,15444,JAISEL DE OLIVEIRA PORTES,130001905749,1004,2,365,78
41335,BETIM,13,Vereador,44473,MARIA VANUZIA MENDES SANTOS,130001885061,995,2,479,90
41335,BETIM,13,Vereador,12500,ADEMAR SOARES FILHO,130002212675,960,2,469,86
41335,BETIM,13,Vereador,15234,JECIRLENIO TEIXEIRA DA ROCHA,130001905748,932,2,373,79
41335,BETIM,13,Vereador,70125,THIAGO FELIPE DE SOUZA CASTRO,130001894750,923,2,460,89
41335,BETIM,13,Vereador,77480,JOSE DO CARMO,130001885074,916,2,313,77
41335,BETIM,13,Vereador,11256,DIONATAS REZENDE GONÇALVES,130001905611,912,2,496,89
41335,BETIM,13,Vereador,40789,NILVAN JUSTINO MOREIRA BAETA,130001905673,906,2,475,95
41335,BETIM,13,Vereador,15777,DANIELA ALMEIDA SANTOS GANGA,130001905752,880,2,496,91
41335,BETIM,13,Vereador,77000,DENES GOMES CRUZ,130001885085,873,2,321,83
41335,BETIM,13,Vereador,11017,JOSUE DA SILVA MELO,130001905613,855,2,367,82
41335,BETIM,13,Vereador,11123,HALLEM BORGES SALDANHA,130001905598,840,2,348,74
41335,BETIM,13,Vereador,23623,ELZA MARQUES,130001893856,835,2,378,79
41335,BETIM,13,Vereador,13531,RONILDA MARIA SABINO LOBO,130001921643,828,2,301,68
41335,BETIM,13,Vereador,23133,ANDRE JUNIO DE OLIVEIRA,130001893864,796,2,299,80
41335,BETIM,13,Vereador,70789,JOANA DALVA DE OLIVEIRA PIRES FERNANDES,130001894759,789,2,343,75
41335,BETIM,13,Vereador,11011,JOSE AFONSO OLIVEIRA,130001905607,788,2,244,78
41335,BETIM,13,Vereador,11678,WEBERT PEREIRA DA COSTA,130001905596,782,2,212,69
41335,BETIM,13,Vereador,22130,CESAR HENRIQUE DA SILVA,130001921673,774,2,166,51
41335,BETIM,13,Vereador,10456,LEANDRO DOMINGOS GONÇALVES,130001905812,770,2,223,57
41335,BETIM,13,Vereador,70222,ANDERSON VINICIUS DE OLIVEIRA,130001894758,764,2,397,88
41335,BETIM,13,Vereador,65105,MAURIVAR NOVAIS,130001921636,728,2,208,67
41335,BETIM,13,Vereador,23913,DAVIDSON CARDOSO PEREIRA,130001893871,684,2,317,70
41335,BETIM,13,Vereador,15015,JOSE RAMOS MENDES,130001905758,684,2,236,67
41335,BETIM,13,Vereador,22777,RENATO ALVES DA COSTA,130001921665,680,2,178,65
41335,BETIM,13,Vereador,77510,JOANIR MARTINS COELHO,130001885068,645,2,104,40
41335,BETIM,13,Vereador,77456,WASHINGTON RODRIGUES DA SILVA,130001885076,638,2,353,82
41335,BETIM,13,Vereador,33123,RONIE VOM FONSECA,130002031982,610,2,343,78
41335,BETIM,13,Vereador,15115,FRANCISCO FAUSTINO JUNIOR,130001905754,606,2,258,67
