CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
44458,DIVINÓPOLIS,11,Prefeito,30,GLEIDSON GONTIJO AZEVEDO,130002134877,83298,2,502,76
44458,DIVINÓPOLIS,11,Prefeito,55,LAIZ SOARES,130002263400,33134,2,502,76
44458,DIVINÓPOLIS,11,Prefeito,96,VOTO NULO,-1,28463,2,502,76
44458,DIVINÓPOLIS,13,Vereador,10200,WESLEY JARBAS DE OLIVEIRA,130002134996,3994,2,462,73
44458,DIVINÓPOLIS,13,Vereador,12,Partido Democrático Trabalhista,-3,3719,2,502,76
44458,DIVINÓPOLIS,13,Vereador,11500,ISRAEL MENDONÇA,130002136077,3177,2,481,75
44458,DIVINÓPOLIS,13,Vereador,23123,JOSAFÁ ANDERSON DE OLIVEIRA,130002028773,2962,2,438,73
44458,DIVINÓPOLIS,13,Vereador,12345,LAURO HENRIQUE RODRIGUES DE CARVALHO,130002024108,2584,2,472,70
44458,DIVINÓPOLIS,13,Vereador,22500,WALMIR RAIMUNDO RIBEIRO,130001923793,2497,2,285,68
44458,DIVINÓPOLIS,13,Vereador,70789,ANA PAULA DE OLIVEIRA FREITAS,130002170051,2487,2,426,70
44458,DIVINÓPOLIS,13,Vereador,13123,VITOR GONÇALVES COSTA,130001954976,2439,2,488,73
44458,DIVINÓPOLIS,13,Vereador,30000,BRENO OLIVEIRA DE SOUZA JÚNIOR,130002135801,2284,2,456,74
44458,DIVINÓPOLIS,13,Vereador,43500,KELLEN CRISTINA SILVA,130001954972,2195,2,461,72
44458,DIVINÓPOLIS,13,Vereador,43000,RODYSON KRISTNAMURTI DA SILVA OLIVEIRA,130001954973,2191,2,461,76
44458,DIVINÓPOLIS,13,Vereador,77123,WASHINGTON APARECIDO MOREIRA,130001906611,2172,2,455,71
44458,DIVINÓPOLIS,13,Vereador,30777,CLAUDINEI CUNHA DA SILVA,130002135796,2151,2,428,71
44458,DIVINÓPOLIS,13,Vereador,25000,NILTON FLAVIO DE OLIVEIRA MARRA,130001926628,2144,2,475,70
44458,DIVINÓPOLIS,13,Vereador,22123,DELANO SANTIAGO PACHECO,130001923799,1961,2,441,71
44458,DIVINÓPOLIS,13,Vereador,36200,HILTON DE AGUIAR,130002062856,1843,2,409,73
44458,DIVINÓPOLIS,13,Vereador,22190,ELTON GERALDO TAVARES,130001923802,1838,2,450,71
44458,DIVINÓPOLIS,13,Vereador,30456,SADRAQUE FERNANDES CORREA,130002135799,1830,2,449,71
44458,DIVINÓPOLIS,13,Vereador,10123,ANDERSON EUSTÁQUIO RODRIGUES,130002134994,1699,2,433,72
44458,DIVINÓPOLIS,13,Vereador,25444,MISAEL NUNES LEAO,130001926622,1635,2,304,65
44458,DIVINÓPOLIS,13,Vereador,70000,MATHEUS HENRIQUE DIAS,130002170053,1620,2,446,72
44458,DIVINÓPOLIS,13,Vereador,11000,WELINGTON GERALDO DA SILVA,130002136080,1567,2,368,70
44458,DIVINÓPOLIS,13,Vereador,70777,CLEBER APARECIDO CORREA,130002170055,1558,2,444,73
44458,DIVINÓPOLIS,13,Vereador,13333,THYALLE KELLE ARAUJO,130001954989,1421,2,435,68
