CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
52493,SÃO JOÃO DEL REI,11,Prefeito,22,AURELIO SUENES DE RESENDE,130002065567,25265,1,216,66
52493,SÃO JOÃO DEL REI,11,Prefeito,25,JANIA COSTA PEREIRA DA SILVEIRA,130001907687,16888,1,216,66
52493,SÃO JOÃO DEL REI,11,Prefeito,95,VOTO BRANCO,-1,9010,1,216,66
52493,SÃO JOÃO DEL REI,11,Prefeito,13,LÍVIA GUIMARÃES CARVALHO,130001950638,7474,1,212,62
52493,SÃO JOÃO DEL REI,13,Vereador,43123,SINARA RAFAELA CAMPOS,130002064876,2355,1,197,54
52493,SÃO JOÃO DEL REI,13,Vereador,11,PROGRESSISTAS,-3,2260,1,216,66
52493,SÃO JOÃO DEL REI,13,Vereador,25555,LUÍS FELIPE MACIEL SERPA,130001935472,1891,1,195,52
52493,SÃO JOÃO DEL REI,13,Vereador,30000,LEONARDO HENRIQUE DE ALMEIDA E SILVA,130002067649,1723,1,203,57
52493,SÃO JOÃO DEL REI,13,Vereador,10650,ROSINA DO PILAR NASCIMENTO,130001935437,1652,1,194,58
52493,SÃO JOÃO DEL REI,13,Vereador,20000,GUSTAVO ACÁCIO CUSTÓDIO DE ANDRADE,130001912957,1478,1,201,60
52493,SÃO JOÃO DEL REI,13,Vereador,45220,EVERTON DA CONCEIÇÃO MENDES,130002124593,1303,1,157,56
52493,SÃO JOÃO DEL REI,13,Vereador,13000,CASSI ANE PINHEIRO,130002064878,1261,1,188,51
52493,SÃO JOÃO DEL REI,13,Vereador,55120,WERITON JOSE DE ANDRADE,130001895548,1171,1,194,61
52493,SÃO JOÃO DEL REI,13,Vereador,45555,EDMAR ABREU DE RESENDE,130002124592,1133,1,203,56
52493,SÃO JOÃO DEL REI,13,Vereador,33000,LUIZ CLÁUDIO DO NASCIMENTO,130001971513,1074,1,192,56
52493,SÃO JOÃO DEL REI,13,Vereador,22000,RAFAEL DE SOUZA SANTOS LIMA,130002065930,1039,1,193,55
52493,SÃO JOÃO DEL REI,13,Vereador,25000,JOSÉ AUGUSTO SILVA MACHADO,130001935474,938,1,198,56
52493,SÃO JOÃO DEL REI,13,Vereador,33456,FERNANDO ARLINDO NUNES,130001971509,874,1,192,55
52493,SÃO JOÃO DEL REI,13,Vereador,10250,RODRIGO DEUSDEDIT DA SILVA,130001935434,847,1,196,62
52493,SÃO JOÃO DEL REI,13,Vereador,55055,JORGE HANNAS SALIM JUNIOR,130001895547,842,1,193,54
