CD_MUNICIPIO,NM_MUNICIPIO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,QT_VOTOS_TOTAL,QT_ZONAS_COM_VOTO,QT_SECOES_COM_VOTO,QT_LOCAIS_COM_VOTO
54038,UBERLÂNDIA,11,Prefeito,11,PAULO SÉRGIO FERREIRA,130002203676,184282,5,1670,138
54038,UBERLÂNDIA,11,Prefeito,13,DANDARA TONANTZIN SILVA CASTRO,130002040608,86755,5,1670,138
54038,UBERLÂNDIA,11,Prefeito,45,LEONIDIO HENRIQUE CORREA BOUÇAS,130002250645,80470,5,1670,138
54038,UBERLÂNDIA,13,Vereador,95,VOTO BRANCO,-1,75000,5,1670,138
54038,UBERLÂNDIA,13,Vereador,43123,FABIO DIAS QUEIROZ ZAVITOSKI,130002087899,14596,5,1666,138
54038,UBERLÂNDIA,13,Vereador,13,Partido dos Trabalhadores,-3,13677,5,1666,138
54038,UBERLÂNDIA,13,Vereador,11690,ANTÔNIO CARLOS CARRIJO,130002278033,6998,5,1558,137
54038,UBERLÂNDIA,13,Vereador,20200,NEEMIAS MIQUEIAS SILVA SOARES,130002095052,5997,5,1544,138
54038,UBERLÂNDIA,13,Vereador,11000,EDNALDO RÉGIO DE LIMA,130002278017,5856,5,1570,138
54038,UBERLÂNDIA,13,Vereador,20123,ANDERSON LIMA DA SILVA,130002095045,5543,5,1501,138
54038,UBERLÂNDIA,13,Vereador,45999,RONALDO CESAR VILELA TANNUS,130002202925,5342,5,1544,136
54038,UBERLÂNDIA,13,Vereador,13023,IGINO MARCOS DA MATA DE OLIVEIRA,130002087904,5189,5,1449,138
54038,UBERLÂNDIA,13,Vereador,11777,ROSENVALDO CORREIA DE MENDONÇA,130002278034,5064,5,1245,137
54038,UBERLÂNDIA,13,Vereador,22222,JANAINA GUIMARAES PARREIRA REZENDE,130002202114,5050,5,1436,135
54038,UBERLÂNDIA,13,Vereador,45555,SERVIO TULIO FELIX SIMÕES FILHO,130002202945,4930,5,1432,134
54038,UBERLÂNDIA,13,Vereador,45045,ANTÔNIO AUGUSTO GONÇALVES GOULART,130002202927,4744,5,1388,135
54038,UBERLÂNDIA,13,Vereador,11911,ABATENIO DE ANDRADE MARQUEZ NETO,130002278037,4542,5,1420,135
54038,UBERLÂNDIA,13,Vereador,70000,ADRIANO ZAGO,130002167334,4486,5,1387,136
54038,UBERLÂNDIA,13,Vereador,40000,AMANDA THAYLASSA GONDIM FERREIRA,130002090230,4177,5,1284,133
54038,UBERLÂNDIA,13,Vereador,44444,RAPHAEL MESSIAS LELES,130002087718,3962,5,1320,135
54038,UBERLÂNDIA,13,Vereador,11111,IVAN DA SILVA NUNES,130002278024,3952,5,1313,137
54038,UBERLÂNDIA,13,Vereador,13034,RONALDO AMÉLIO FERREIRA,130002087909,3895,5,1432,138
54038,UBERLÂNDIA,13,Vereador,44123,LIA EUNICE VALECHI DA SILVA,130002087727,3766,5,1395,135
54038,UBERLÂNDIA,13,Vereador,15015,CONRADO AUGUSTO FERREIRA DE OLIVEIRA,130002267067,3585,5,1415,136
54038,UBERLÂNDIA,13,Vereador,12123,CLÁUDIA COSTA GUERRA,130002055855,3434,5,1301,137
54038,UBERLÂNDIA,13,Vereador,20100,FÁBIO GUILHERME DEPIN,130002095055,3392,5,1347,134
54038,UBERLÂNDIA,13,Vereador,10123,EDUARDO BORGES MORAES,130002095089,3346,5,1356,137
54038,UBERLÂNDIA,13,Vereador,11622,JAIR CARNEIRO FERRAZ,130002278027,3345,5,1324,137
54038,UBERLÂNDIA,13,Vereador,18018,MURILO FERREIRA ALVES,130002097645,3253,5,1408,137
54038,UBERLÂNDIA,13,Vereador,77700,ANGELA APARECIDA CAETANO SOUZA,130001983980,3135,5,584,119
54038,UBERLÂNDIA,13,Vereador,22022,GLAUCIA GALANTE BUISSA,130002202106,2915,5,1246,136
54038,UBERLÂNDIA,13,Vereador,44777,THAÍS ANDRADE SILVA,130002087731,2907,5,1178,137
54038,UBERLÂNDIA,13,Vereador,15000,JEFFERSON RESENDE RANGEL,130002267059,2899,5,1033,135
54038,UBERLÂNDIA,13,Vereador,23123,LIZA FERNANDES PRADO,130002202941,2898,5,1304,137
54038,UBERLÂNDIA,13,Vereador,77111,NEI CARLOS BORGES,130001983998,2896,5,736,132
54038,UBERLÂNDIA,13,Vereador,11999,SERGIMAR ANTÔNIO DE MELO,130002278018,2842,5,1159,137
54038,UBERLÂNDIA,13,Vereador,25123,LEANDRO CASSIANO NEVES,130002203484,2779,5,1183,135
54038,UBERLÂNDIA,13,Vereador,15130,GUSTAVO ROBERTO DE SOUZA,130002267064,2761,5,1075,133
54038,UBERLÂNDIA,13,Vereador,45678,GUILHERME PINHEIRO DE FREITAS,130002202949,2708,5,1045,130
54038,UBERLÂNDIA,13,Vereador,40123,GILVAN MASFERRER,130002090250,2676,5,748,130
54038,UBERLÂNDIA,13,Vereador,45123,WALQUIR CLEUTON DO AMARAL,130002202936,2653,5,958,131
54038,UBERLÂNDIA,13,Vereador,44999,RAQUEL SILVEIRA CROSCATTO,130002087719,2651,5,1231,137
54038,UBERLÂNDIA,13,Vereador,11123,ELAINE CRISTINA VIEIRA NAVES DE SOUSA,130002278042,2535,5,1240,137
54038,UBERLÂNDIA,13,Vereador,77135,JULIO CESAR ORIAS TEODORO,130001983995,2514,5,1165,135
54038,UBERLÂNDIA,13,Vereador,33633,ELIUSMARCIO ALVES DE CARVALHO,130001920622,2482,5,685,131
54038,UBERLÂNDIA,13,Vereador,13105,LOURIVAL APARECIDO SERAFIM PEIXOTO DOS SANTOS,130002087918,2469,5,1189,136
54038,UBERLÂNDIA,13,Vereador,44044,THIAGO FERNANDES MENDES DA SILVA,130002087720,2438,5,1236,136
54038,UBERLÂNDIA,13,Vereador,27444,CELISVALDO DA SILVA,130002055679,2331,5,917,132
54038,UBERLÂNDIA,13,Vereador,23023,JOSÉ FURTADO DE SOUSA,130002202947,2257,5,1033,129
54038,UBERLÂNDIA,13,Vereador,77500,SERGIO LUCIO DE ALMEIDA,130001983992,2200,5,1093,135
54038,UBERLÂNDIA,13,Vereador,27500,VANDERSON ESTEVÃO SOBRINHO,130002055680,1992,5,610,120
54038,UBERLÂNDIA,13,Vereador,11456,RILDO DE OLIVEIRA SILVA,130002278025,1944,5,796,130
54038,UBERLÂNDIA,13,Vereador,25999,MASTROIANO DE MENDONÇA ALVES,130002203509,1937,5,753,128
54038,UBERLÂNDIA,13,Vereador,35123,EDSON CARVALHO FERREIRA,130002171534,1859,5,862,130
54038,UBERLÂNDIA,13,Vereador,15999,GILBERTO REZENDE SOBRINHO,130002267076,1698,5,865,131
54038,UBERLÂNDIA,13,Vereador,77900,LUIZ EDUARDO RIBEIRO DE SA,130001983978,1691,5,515,120
